,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_epoch_loss_history,rmse_val_history
0,1.404494382022472e-08,4.384898,1.7348552,2.650043,0.0828816,[0.9784621 0.0631381 1.0953034],0.058008805,0.031623673,0.026385134,0.08931197,[0.23898748 0.066279   0.9189589 ]
1,2.808988764044944e-08,2.904828,1.1559981,1.7488298,0.030115163,[0.22576013 0.04167932 0.71170175],0.06816006,0.041281547,0.026878506,0.04471803,[0.0611865  0.02526052 0.52683985]
2,4.213483146067416e-08,5.255953,3.4805515,1.7754016,0.0073614987,[0.17437668 0.0295598  0.59320307],0.07211156,0.036020964,0.036090594,0.028837338,[0.09585091 0.03678793 0.7406127 ]
3,5.617977528089888e-08,2.4972847,0.26814443,2.2291403,0.00028745754,[0.04539112 0.02164395 0.31811026],0.1642703,0.01991038,0.14435992,0.014857743,[0.11021892 0.0180647  0.415037  ]
4,7.02247191011236e-08,3.8538647,1.6581984,2.1956663,0.04066719,[0.15011139 0.02969535 0.6304811 ],0.051010653,0.029439751,0.0215709,0.08011875,[0.12659186 0.03455502 0.9724949 ]
5,8.426966292134831e-08,4.4747877,1.9268792,2.5479085,0.023031984,[0.06150537 0.02255458 0.40622044],0.07020232,0.033260696,0.03694162,0.020408982,[0.09855342 0.02692957 0.5376493 ]
6,9.831460674157305e-08,5.433956,3.9706364,1.4633199,0.0025705153,[0.03586334 0.018113   0.2979197 ],0.1862348,0.035819776,0.15041502,0.0059030666,[0.05207248 0.02156471 0.42614245]
7,1.1235955056179776e-07,5.0756006,1.8594275,3.216173,0.0048094564,[0.02093245 0.01482999 0.18487057],0.14040884,0.045694835,0.094714016,0.078339845,[0.04434923 0.01798079 0.37008214]
8,1.2640449438202246e-07,4.3140297,2.1278353,2.1861944,0.0011464744,[0.1680162  0.03292048 0.60642445],0.038542,0.02357566,0.014966338,0.05489113,[0.36636686 0.03484822 0.6490622 ]
9,1.404494382022472e-07,2.3619227,0.65099347,1.7109292,0.0035179306,[0.05915707 0.02422568 0.41359606],0.14028561,0.036931284,0.10335432,0.06918014,[0.43949997 0.03860889 0.7277487 ]
10,1.544943820224719e-07,2.6487162,0.98870134,1.6600149,0.0063179997,[0.04813631 0.02000058 0.3320842 ],0.16171172,0.029714968,0.13199675,0.1584779,[0.5258545  0.04493277 0.8473136 ]
11,1.6853932584269663e-07,2.135499,1.1764554,0.9590437,0.0019725068,[0.04062013 0.01859264 0.2973485 ],0.06087912,0.03855238,0.02232674,0.123141855,[0.30385223 0.02932589 0.62191296]
12,1.8258426966292135e-07,2.6359758,1.01509,1.6208857,0.0026804248,[0.03112594 0.0161069  0.22601928],0.086028405,0.024711175,0.061317228,0.076306015,[0.33090186 0.03600774 0.53783244]
13,1.966292134831461e-07,4.568075,2.224639,2.3434362,0.0012819752,[0.02083725 0.01469275 0.17274036],0.10105743,0.045197096,0.055860337,0.03611237,[0.25959468 0.0197365  0.39169496]
14,2.106741573033708e-07,2.1898112,0.63174176,1.5580693,6.629271e-05,[0.01378235 0.01336921 0.11621048],0.06720468,0.0340166,0.033188075,0.010360044,[0.14052084 0.01739869 0.39300913]
15,2.247191011235955e-07,3.740413,2.8178177,0.9225952,0.0012545384,[0.01131843 0.01296393 0.09042525],0.10187477,0.016986735,0.08488803,0.015919803,[0.09973062 0.01796299 0.40390137]
16,2.3876404494382023e-07,1.429487,0.6496137,0.77987325,0.3740353,[0.9492602  0.05949712 1.0168048 ],0.16675541,0.030069306,0.1366861,0.5053007,[0.73011655 0.07268056 1.2930534 ]
17,2.5280898876404493e-07,1.7190182,0.98437387,0.7346444,0.45205128,[0.98037857 0.05928857 0.9703216 ],0.20623572,0.03313741,0.17309831,0.63813823,[0.83603686 0.07160484 1.2631829 ]
18,2.668539325842696e-07,1.606451,0.32674482,1.2797062,0.5141916,[0.9802161  0.05881962 0.966021  ],0.040397763,0.026892172,0.01350559,0.4566308,[0.67816836 0.07239132 1.2657357 ]
19,2.808988764044944e-07,1.0191838,0.6082172,0.4109666,0.5504195,[0.97945523 0.05910246 0.9681121 ],0.10959213,0.03511004,0.07448209,0.5583026,[0.69741946 0.07149317 1.2654406 ]
20,2.949438202247191e-07,4.8035393,4.4686985,0.33484095,0.55204004,[0.97943264 0.0589168  0.96073157],0.07769285,0.020638531,0.057054322,0.4265903,[0.73015773 0.07259681 1.2650112 ]
21,3.089887640449438e-07,0.75637865,0.23997901,0.5163996,0.4357457,[0.9801087  0.05882096 0.96174157],0.116367534,0.027973019,0.088394515,0.35146803,[0.7696066 0.0727671 1.2862271]
22,3.2303370786516856e-07,3.558879,3.4396026,0.1192763,0.4155206,[0.9794795  0.05884021 0.96280754],0.066094756,0.024942867,0.041151885,0.42103457,[0.67822313 0.07147223 1.3052397 ]
23,3.3707865168539325e-07,2.4382799,2.3436222,0.094657734,0.4604994,[0.9784913  0.05856952 0.95884025],0.10744423,0.040668197,0.06677603,0.4637788,[0.7920803  0.07157636 1.2622771 ]
