,lr_history,train_loss_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_epoch_loss_history,rmse_val_history
0,2e-08,1.7748221,0.31545055,3.9575992,1.4682391,2.488512,2.86341
1,4e-08,0.21018152,0.13814938,1.7818047,1.066781,1.4169588,4.3114624
2,6e-08,14.149908,0.019900942,1.2566916,0.0903707,0.7510157,1.5085806
3,8e-08,0.84386486,0.3297543,1.0115936,5.728781,0.3081705,1.739737
4,1.0000000000000001e-07,11.771953,0.12738247,0.936554,0.098774284,2.1188545,1.6430663
5,1.2e-07,8.6135435,0.13084161,0.9209959,3.4301574,0.083454326,1.1827085
6,1.4e-07,0.18991373,0.44092998,0.818445,9.811468,0.16800277,1.9795337
7,1.6e-07,47.90804,0.083933875,0.65324694,0.27991915,4.1104403,1.7546195
8,1.8e-07,65.907555,0.094270095,0.58790517,0.4856035,1.3147126,1.1567385
9,2.0000000000000002e-07,32.423244,0.022385383,0.49851286,4.962745,0.16025536,1.7783657
10,2.2e-07,8.109518,0.37389922,0.46667016,2.1071532,0.16136359,1.0656419
11,2.4e-07,125.30788,0.00074082275,0.41305527,1.9814919,0.24094075,1.0360934
12,2.6e-07,0.37814242,0.0012639367,0.42345795,2.1118484,0.44260406,1.2813152
13,2.8e-07,39.186184,0.0003791699,0.38321915,1.0276935,0.8800052,1.0731663
14,3.0000000000000004e-07,8.195066,0.016983263,0.3509561,0.18368405,0.0065149223,1.1103661
15,3.2e-07,3.046371,0.04619438,0.30610383,2.0791876,0.25281894,0.7830643
16,3.4e-07,0.1839912,0.0020545963,0.32468343,0.7371806,0.28761068,1.1161679
17,3.6e-07,1.6436316,0.007389098,0.26351836,1.3507706,0.27568454,1.1082991
18,3.8e-07,8.343558,0.005169982,0.26004404,2.9677036,0.082732365,0.81812763
19,4.0000000000000003e-07,5.162654,0.0019711952,0.22013879,1.1942524,0.062629245,0.8755144
20,4.2e-07,18.309305,0.004857435,0.21641095,5.5079923,0.17419833,1.3242468
21,4.4e-07,21.089565,0.024655527,0.18198386,0.4966837,0.22155093,0.9908048
22,4.6e-07,100.87832,0.0012879339,0.17631556,5.8153415,0.15285592,1.1825477
23,4.8e-07,7.301571,0.0020707785,0.15351033,2.6110568,0.009201558,1.2280062
24,5.000000000000001e-07,10.817424,0.001029905,0.13147895,0.20924272,0.028353283,1.2688534
25,5.2e-07,0.35184312,0.0021683427,0.12915385,2.7158434,0.18610536,1.1316066
26,5.4e-07,0.53611314,0.0020201842,0.11594987,0.4571501,0.16264857,1.2002254
27,5.6e-07,0.09074206,0.004629284,0.10232903,2.9440336,1.0119848,1.1978374
28,5.8e-07,5.182095,0.00067506585,0.09758595,0.64182293,0.22373633,1.1834288
29,6.000000000000001e-07,26.717226,0.0007857752,0.089512266,0.22662807,1.4933137,1.1590616
30,6.2e-07,0.13075756,,,2.4985714,,
31,6.4e-07,33.41771,,,0.45402253,,
32,6.6e-07,0.49598864,,,0.37484396,,
33,6.8e-07,69.08718,,,3.5370746,,
34,7.000000000000001e-07,12.672215,,,3.41755,,
35,7.2e-07,14.973267,,,0.21226387,,
36,7.400000000000001e-07,2.2764583,,,0.46229315,,
37,7.6e-07,0.31189528,,,0.55038273,,
38,7.8e-07,0.27349746,,,6.0400696,,
39,8.000000000000001e-07,79.53355,,,3.1738923,,
40,8.200000000000001e-07,0.8044762,,,3.10948,,
41,8.4e-07,23.56981,,,4.7417264,,
42,8.6e-07,1.7771039,,,1.7752901,,
43,8.8e-07,9.76431,,,6.088309,,
44,9e-07,6.972981,,,4.0909653,,
45,9.2e-07,0.5118882,,,3.7138982,,
46,9.400000000000001e-07,2.0139709,,,1.1610994,,
47,9.6e-07,38.95311,,,0.7787838,,
48,9.8e-07,9.274488,,,4.0137634,,
49,1.0000000000000002e-06,0.22865285,,,0.7022234,,
50,1.0200000000000002e-06,13.244256,,,6.0272403,,
51,1.04e-06,9.394706,,,1.3330791,,
52,1.06e-06,8.148687,,,9.843397,,
53,1.08e-06,83.48524,,,4.1209574,,
54,1.1e-06,8.478291,,,0.6261412,,
55,1.12e-06,10.814326,,,2.639896,,
56,1.14e-06,106.84579,,,2.2287521,,
57,1.16e-06,0.22738867,,,1.1559317,,
58,1.18e-06,0.40649724,,,6.456583,,
59,1.2000000000000002e-06,17.579187,,,0.5364468,,
60,1.2200000000000002e-06,67.66856,,,5.183979,,
61,1.24e-06,4.950095,,,4.0843363,,
62,1.26e-06,0.29266703,,,3.5447383,,
63,1.28e-06,0.2732253,,,0.07207768,,
64,1.3e-06,50.926067,,,0.34364635,,
65,1.32e-06,0.60708916,,,1.4187286,,
66,1.34e-06,54.780853,,,1.1227059,,
67,1.36e-06,0.49093562,,,2.1121364,,
68,1.3800000000000001e-06,31.399496,,,0.24223281,,
69,1.4000000000000001e-06,53.33398,,,0.9701731,,
70,1.4200000000000002e-06,0.14303236,,,1.4813253,,
71,1.44e-06,1.3104941,,,0.13935368,,
