net,baseline_rmse,baseline_inference_time,448_rmse,448_inference_time,224_rmse,224_inference_time,small_nh_rmse,small_nh_time,large_nh_rmse,large_nh_time
resnet18,1.048469,0.023918,0.608094,0.019606,1.021887,0.018273,1.34971,0.021195,0.688879,0.024557
resnet34,1.314497,0.026249,0.584256,0.019451,0.759018,0.017454,1.439976,0.020708,1.915781,0.034797
mobilenetv2,1.613515,0.018954,1.149656,0.021217,0.928522,0.011516,1.190989,0.015944,1.839037,0.021218
incpetionv3,3.659071,0.02587,19.578068,0.021731,2.860298,0.019364,2.548524,0.023779,3.639625,0.026011
googlenet,4.319646,0.025243,2.821489,0.022287,2.580151,0.018089,3.772948,0.02162,1.981582,0.028036
densenet121,0.913008,0.025832,0.751888,0.025041,1.168821,0.020293,1.173873,0.026238,0.758162,0.026411
,,,,,,,,,,
,,,,0.819717368,,0.763985283,,0.886152688,,1.026716281
,,,,0.741018705,,0.664939617,,0.788906244,,1.325650501
,,,,1.119394323,,0.607576237,,0.841194471,,1.119447082
,,,,0.840007731,,0.74851179,,0.919172787,,1.005450329
,,,,0.882898229,,0.7165947,,0.856475062,,1.110644535
,,,,0.969379065,,0.78557603,,1.01571694,,1.02241406
