10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-0.6854214,0.86169195,-1.7383138,-1.10925,-0.88102776,0.039589483,-0.56712085,-0.30071956
-1.1601485,-0.09083735,0.9312433,-1.1240407,0.45705745,1.2036654,0.33929646,-1.4592972
-0.117816485,-0.23639707,-0.2883774,-2.379,-2.9352155,0.57380414,-1.1518431,-0.35016328
0.8674267,0.34447545,1.0094148,-1.0531553,0.095626056,-0.3361614,-0.92133784,0.10085798
0.4131453,0.022866832,-0.19017294,-0.5270353,0.27485535,0.3200541,0.43325937,-0.7094449
-0.13159256,-0.082944,1.0803045,-1.6595302,0.37113708,-0.23503533,-0.23911466,0.76995695
0.3838835,0.16444597,1.201116,0.17031246,1.0686548,0.010322123,-0.35915524,-0.7452316
-0.55896705,-0.22963266,-0.46513927,-0.9038116,-1.7274094,-0.32943878,-2.570931,-3.3343377
0.41492864,-0.30174166,0.28440222,-0.38898352,0.7983927,0.7014399,0.4928391,-0.1995064
0.3342865,0.64640266,-0.36960799,-0.96010596,0.9264707,-1.0123552,-0.09514111,0.121853985
-0.61113155,-0.25525653,0.3999349,-0.9247256,0.560779,-0.06781011,0.38174266,0.6261268
0.41132164,0.10168614,-0.4295113,-1.0693855,-0.28605002,-0.66791904,-1.3082817,-0.31955722
0.39188614,-0.59631306,-1.4811059,-0.92999935,1.1969633,0.08328732,-1.6793727,-0.38731268
0.4339441,-1.0561928,0.04367052,-1.167327,1.1528881,7.103591,-0.32122037,-1.2751006
-0.24919645,0.4585379,0.8448371,-1.659706,0.51687455,-0.59778666,-0.5170555,-0.24294299
0.41754055,-0.39746022,-0.9252806,-0.35864466,0.40958422,1.5684794,-2.177372,2.9457614
-0.30953306,-0.6312755,-0.65278846,-2.1216342,1.0512378,0.413042,-0.65364563,-0.28137645
0.41350177,-0.47112465,0.14536862,0.13286339,-0.500897,-0.28140035,0.05827517,-0.24015969
-0.57480574,-0.9529919,1.3644565,-0.71366596,1.1379812,0.9349538,-0.75682247,0.6792657
0.8496439,0.35793912,-0.5377015,-0.8689417,-1.4790057,-0.6465559,-0.41230777,-0.13004337
-0.16412005,-3.0389273,-0.20473747,-0.69605684,-1.0667866,0.49509647,-1.0363718,0.07561019
-0.06802495,-0.02681703,1.174293,-0.45477447,0.80744785,0.15881726,0.52145416,-0.3220263
-0.086970925,-14.359231,0.91593176,0.3651675,1.2124507,-0.58047557,-0.45732212,-3.150749
-0.4814978,0.11381229,0.558467,-0.92122173,-0.76520485,-0.09078175,-0.23555614,1.3028278
-0.28110912,-0.2775524,1.9574262,-0.2222552,0.67785525,0.7234946,-2.8925781,1.8130429
0.0355173,0.5027685,-0.101641744,-0.8725532,-1.8773133,0.026381604,-1.500029,1.9650009
-0.15497187,-0.15133294,0.8602623,-0.8886571,-0.09191214,-0.46052206,-1.7112628,1.5822986
-0.21809903,-0.13653377,0.34485453,-0.5239096,-0.2758662,0.0902746,-0.9106178,-1.266679
0.4233671,-0.18648294,1.4564131,-0.8880714,0.45907405,0.48289263,0.48765498,0.37913352
0.085848324,-0.23817919,0.575592,-0.16398856,0.63321316,0.7797668,-1.1509415,-3.048016
-0.65821207,0.36889166,-0.20481175,-0.908118,0.6426951,0.8147732,-2.3834047,-3.0953083
-0.22839597,0.020732185,0.98610765,-0.68070257,-0.19208027,0.5909992,-0.99969035,0.96491784
-0.8029666,-0.68931973,-0.46813175,-0.06628869,1.2118104,1.2970494,-0.23196004,0.86411107
0.53701764,-0.26911584,1.8569593,-0.6466686,-1.2082689,-0.5967655,0.6354739,1.4205427
0.7555369,-0.03501575,-1.1694701,-0.90222865,-0.29816166,0.65027666,-0.54269946,0.011112717
4.5110855,0.10889007,-1.0276924,-1.2223784,0.900446,-0.116261765,0.7625632,0.008455774
-0.2929054,-0.08973865,0.47446504,-0.6680369,1.0705023,-0.68730825,-0.737616,0.23141363
-0.16116834,-0.8548946,1.3745499,-0.92253655,0.650152,-0.42589813,0.3131744,-0.47997445
-0.114052735,0.37559655,0.821851,-1.065349,0.6192932,-0.23055814,-4.6745386,-1.030597
0.035463408,0.8438471,0.49915704,-1.3958464,1.0881157,-0.2989881,0.31483755,1.7992152
0.20923387,-0.043149292,0.6796738,-1.5657517,-0.2547797,-0.39479858,-2.19413,1.3487642
-0.6508905,-0.2616129,-0.6705811,-0.92614716,0.91489524,-0.62348354,0.4361178,0.71030205
0.4498354,-0.24520607,0.57981646,0.37810558,-0.13225636,-0.36626205,0.08175736,0.59355026
0.42899305,-0.71745586,1.0153759,-1.0046055,0.95260644,-1.3638965,-1.6599817,0.011560095
