10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-3.5988872,-5.45979,-2.1809561,1.1335723,-4.4472094,-0.18945578,2.2162187,1.1491964
-0.1181025,-3.902599,-4.566389,1.9929065,-3.5444512,-7.112202,-2.5298781,-1.8478597
-1.2708266,-4.0958986,-3.8370686,-1.462883,-6.968456,0.3197997,-1.4525626,-1.7774439
-13.9259405,-1.8990623,-3.0759532,-2.622152,-3.4269705,-6.428683,0.38475478,3.4383187
-4.989932,-0.9036615,-2.6851094,-1.8059343,-0.45058072,-2.062408,0.26949877,-1.6740623
-12.300154,-6.351701,1.2922034,-0.84617585,-5.2745466,-3.5781243,-4.176114,-1.4188317
3.9588416,-1.2290165,-26.336863,0.19048116,3.826552,-8.398664,-2.8138106,-0.9221438
-3.3902495,-1.5633446,-3.823124,-2.5038157,1.5858742,-3.9519234,0.52291244,-0.39055702
-0.036609385,-3.732027,-3.6545317,1.9037845,-2.5363786,-1.6267153,-6.2103457,-1.0602536
-3.4206414,0.7041387,-4.7709703,-1.7204221,3.164027,-3.660843,0.4017483,0.49719334
-5.626117,-1.3020219,-5.275212,-0.63470215,-1.510807,-4.868048,2.3737092,-1.9409826
3.2624063,-9.754136,-1.295359,1.1947708,-0.61206347,-1.1177262,-0.6372395,-0.58438754
1.7049155,-2.0379076,-1.3040802,-1.9772705,-3.6628015,-2.5836742,-0.79253757,0.19918539
1.0909048,-5.801213,-1.2568998,1.2394513,-1.0017258,-0.18516813,-2.7927208,5.154084
0.74791163,-1.901481,-4.517149,-0.7329228,-4.589491,-4.4412465,-1.390121,0.9401345
0.901552,-1.3493782,-3.5840604,-0.9095233,1.7195052,-4.781706,-1.9190167,-0.33042064
-1.6038551,0.61663496,3.0050645,1.1045696,0.20169206,-4.433747,-1.0895244,4.3441863
1.3142645,-2.0935318,-3.4482012,-0.11039549,-3.387965,-4.1676207,-1.0669575,-0.41088024
-3.2125797,-1.8930995,-3.295829,-6.01393,-4.224402,17.80252,-0.6624805,4.9811096
-3.0168142,-3.200474,0.32407367,-3.969786,-4.372463,-4.550948,-0.4390138,-0.21620621
-2.3772864,-3.618987,-4.656409,3.6184871,2.5085046,-3.7483768,-0.25854656,-0.03907551
2.896416,-5.234471,-1.0955794,1.3516824,-0.34337407,-0.0013660378,-2.2230592,3.894893
-1.3447682,-5.5526643,-3.7318845,0.8202331,-1.2923657,-6.5036035,1.6736251,4.2920256
-1.2957747,-2.4219534,-3.6550415,-0.09577718,-4.1857276,-3.1456726,1.2710538,0.7151071
-2.4577785,-4.9099364,0.24582703,-2.665879,-0.48102286,-2.5751843,-0.009258321,-1.0798426
-2.200739,-6.801232,1.3454294,-3.6962676,-6.666616,-5.1288896,-1.1724054,-1.071561
2.194745,-0.4057277,-2.8637872,3.5458455,-0.21349292,-1.9262447,-1.4613086,5.9054084
0.6197535,-1.4352705,-2.167334,0.0104399435,1.0797385,0.7865714,-0.6309865,-0.32938585
0.035022646,-2.1036422,-3.2277167,-4.8863425,-1.0165404,1.1370181,-0.77455026,0.8897448
-7.946889,-1.6975504,-1.1480421,3.3491514,-6.5420213,-3.7778168,-5.1918416,3.622447
-0.17076838,-1.8679162,-4.99399,-0.92279434,-2.166705,-3.2131343,-0.93327016,2.0820465
-20.070107,-1.6620505,-1.7565008,10.296587,-5.608719,-1.8425066,-0.6421163,1.486734
0.04918275,-1.8353825,-2.5158737,2.4367142,-2.0516658,1.710759,0.25879586,0.04706
-2.5405514,-0.05464151,-0.78089124,-0.036288794,-2.755457,-3.7923975,-0.17780347,2.5506725
-10.329764,1.1395043,-1.6962885,4.9633284,-1.2853305,-5.024482,-0.763581,4.688952
-0.6892544,-5.1198673,0.308897,0.17240506,-2.9433076,-6.4998827,0.31774038,1.6433332
2.215253,-3.1942549,-4.6263027,-2.413331,-5.4157453,-5.989377,-0.5315936,0.04213885
-0.40093037,-5.0353765,-3.9064515,0.28218582,-3.9708977,17.61671,-1.401524,-2.1552968
-13.72375,-5.1013994,-5.3983035,0.21543099,-2.6357903,-3.0209737,-4.051538,0.11299181
-12.713553,-1.5584706,-5.2363977,0.8835976,0.32270935,-0.951628,0.9089035,4.615596
0.24159658,-5.3906097,-5.1202135,-0.397581,-6.3157396,-1.7140853,-0.9950629,1.082322
0.011882821,-1.6399186,-2.6002622,-1.0356325,1.0385661,-1.446412,-0.03282247,3.916717
0.30703747,-1.6939372,-0.8478672,1.7058926,-2.5070124,-5.44663,-5.574817,-0.21459429
-0.5149706,-3.5071867,-1.7841136,-0.69862413,-8.024025,-1.8454487,-0.33880126,-1.8496186
-9.601306,-6.5618443,-24.12216,-1.9312359,-2.4979572,-2.1600063,-0.7282996,-0.00019124529
-5.912883,-5.2280817,-11.907246,1.0764668,-1.5443621,-4.076412,-4.0652394,-0.77523667
0.75245416,-6.2351766,-1.4173717,-2.9050672,0.48297802,-1.0775836,0.20787337,-0.11530042
1.2553008,-1.2283665,-0.52192545,-6.4321246,-4.493074,-4.56349,-6.661893,4.4732885
0.0245763,-2.036782,-1.7818947,3.1842203,-4.7292037,0.38593128,-6.733439,-0.079868816
-4.378248,-3.3128643,-1.1225227,-0.3317747,-5.1589627,0.08374665,-0.09124449,-0.027361736
-2.2720845,-10.762279,-2.9333382,0.33109853,-4.946363,-2.858376,0.16050602,-0.48976552
-0.39712766,-1.001721,-9.531386,0.36754698,0.7843242,-2.7532012,0.070111886,7.0775986
-1.8164861,-3.6912587,1.2271254,0.7410729,-5.0792103,-2.0963778,-0.5826527,-1.6739222
-9.317361,-9.54086,1.2034135,-3.2341073,-6.0918674,0.7022851,-1.2010751,3.7234092
-3.619037,-0.75082517,-3.4896731,-1.2676455,2.8760338,-2.159412,1.9294736,6.5493193
-0.8776754,-6.377833,-2.8995602,2.098883,-0.9813854,-7.0616126,-0.3677032,1.0662334
-11.645903,-0.13597198,-10.265089,-2.3334982,-3.6084042,0.2444627,-5.928744,-0.78613424
-0.6041752,-3.4692433,-3.6973767,-1.7015067,-4.863745,-2.4954863,-0.2670194,1.1509926
0.7555252,-4.5517735,-0.9322653,1.9994634,-2.0648582,-7.803269,-1.0319049,-2.2223966
0.18045786,-0.7652829,-13.445725,-0.8416141,-2.3370686,-4.4659224,-7.8073907,3.3212407
-0.16535044,-7.3921666,-12.913175,-2.895971,-0.45015043,-1.1046977,-3.3448322,-1.0149865
-2.0607922,-8.746331,-4.7522635,-2.5559967,1.0181899,-4.7776046,0.1317441,-2.5635133
3.2468588,-1.1159786,3.8345227,-1.4415882,1.1172942,-4.2523236,-1.9106189,0.5635623
1.9489361,-2.782228,0.58921224,3.1025057,-2.3568351,-3.2951922,-6.136252,-1.8032314
-5.818724,-3.1566186,-3.9034162,1.19401,-2.7539048,-1.5364732,-2.854307,0.96837735
-0.75102407,-4.570856,1.5954382,1.3290993,-7.3836517,-3.2685611,0.005522208,-2.2737322
2.1022058,-3.552383,-0.91002786,-0.66664094,-7.3059645,-5.600077,0.21793084,-1.9986123
-2.5532544,-6.153818,2.6315727,-5.4035287,-5.931515,-4.3486104,0.88394594,-2.0526118
