10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-3.3213096,2.21328,-17.13317,3.9701078,-14.0238285,2.13844,1.4475424,-3.0825496
-2.1468723,0.46220827,-8.025669,8.042832,-21.367397,-2.0535219,-2.6497512,-1.7952468
-3.2134438,0.9531507,-8.746112,1.775126,-6.4059453,-2.3733113,-31.249094,2.0549204
-2.2171535,2.3077893,-4.090501,3.8337338,0.92828923,-1.4055299,-0.9487474,2.441294
-1.1951996,-1.1710742,-12.58666,1.0374621,-30.667084,-2.2550926,-13.330339,3.8027008
-3.6012008,-1.1162497,-10.702833,3.0453525,-18.981873,2.2786653,-34.114292,9.565939
-0.998596,-2.650034,-12.372388,-0.3114199,-1.1307173,-2.2622473,-7.7064714,-3.1263652
-3.2236,2.9514146,-3.4772432,0.9087003,-22.064054,-1.8664361,-14.016893,0.6519757
-4.9734077,-0.9038835,-17.187582,1.3838799,-1.0181608,-2.051237,-37.043957,10.792617
-5.628575,2.036394,-9.175544,2.8650455,-11.424889,-2.5380077,-32.847515,8.975192
-3.7162673,-2.833526,-12.580049,0.04826297,-3.9569488,-1.943158,-18.663197,22.69497
-1.2030517,-2.6135921,-0.48708978,2.5185227,-24.758266,0.282652,-2.9159682,3.6021938
-7.8995776,2.235596,-6.6320844,3.462677,-1.1092021,0.6130641,-31.229692,9.058381
-2.6704247,2.3882942,-8.657388,2.4021628,-7.1831746,-7.9771004,-40.865463,2.6080427
-2.2811105,-2.6842232,-12.078701,4.843988,-1.4939245,1.2624785,-17.672024,3.0306127
-4.243441,0.53074366,-7.5119834,0.8912047,-18.41703,-1.4458314,-1.6453959,-1.6548352
-3.351252,2.504614,-10.945698,1.2093694,-0.22753066,-1.6734321,-0.48585182,9.51086
-6.192623,3.1894536,-9.013296,2.5711784,-28.97124,1.288691,-31.86163,3.8432481
-0.6008092,-3.299542,-7.3004336,0.64604706,-11.613472,-2.537854,-32.20658,3.7740686
-2.0600204,-0.092364214,-5.8977375,0.8292669,-15.96906,-1.6782047,-24.27834,7.565353
-0.37005627,-1.9158782,-4.7193546,1.3640399,-4.676152,1.6290581,-3.4600337,13.973067
-0.64581805,3.5144942,-15.893433,3.3796158,-27.272476,-2.0212252,-31.641771,7.418449
-4.462497,-1.7181993,-1.2249432,2.246876,-23.603222,0.8036315,-31.288364,-3.41936
-5.077421,0.11472455,-4.3438735,5.6373286,-9.820131,0.6499949,-9.734321,5.8587174
-1.8569772,1.200906,-13.388694,2.0661023,-1.0322071,-1.9720633,-35.52052,-3.347684
-6.1519613,-0.6512132,-11.736714,7.8572254,-1.0722833,1.421989,-0.77107024,-8.1399765
