10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.9317667,0.009330892,0.5564922,-0.3018653,0.7956265,0.48608062,-0.084421135,1.8754264
0.40957612,0.75031286,-0.46760666,-2.0404046,-0.53502065,-1.0228328,0.24376944,0.5836909
4.150235,0.1393333,-0.42459527,0.20628025,-0.30942976,0.58809805,-1.9103969,0.42432207
0.08228841,0.026975537,-0.32823327,0.098165184,-0.82204735,0.9922796,-0.7713571,-0.45997223
0.20847614,0.33746335,0.81052655,-0.8990697,-0.36573613,1.0227132,-0.6584917,0.39815903
1.054319,0.20552678,0.3960118,0.31524822,-0.28519112,0.568229,-1.0137708,-1.1236616
0.122424304,0.8346478,-0.028276129,-0.6425099,-2.1288776,-0.53298694,-0.33567646,0.20519595
1.7487507,-1.10624,0.4802801,0.3334242,-0.54753697,0.11262128,-1.1657869,0.3022427
0.14678802,0.30326855,0.25181198,-1.7370083,0.4376614,0.014860784,-0.50770503,-1.2417693
0.8168436,0.86001706,-0.83907074,-0.9745732,-0.019997085,0.27273968,-0.5753444,-0.3614092
-0.67650115,1.5865837,0.9788267,-0.018653246,-0.596909,0.16362229,-0.61418426,2.0656097
-0.9997241,-0.88347167,0.58164775,-0.47845218,-0.50409526,0.52069604,-1.0375706,1.8216625
0.50581264,0.1270445,0.5774404,-1.6604223,-0.14353642,1.0586451,0.04990819,0.6284764
-0.08392808,0.12026975,-0.48861805,-1.3609442,-0.058655955,0.9143881,-1.0241766,0.5353775
0.7845676,-0.3162399,-0.5643896,0.67639613,0.18114515,1.5205024,-0.5312521,0.63887537
-0.010955622,-0.32697162,1.4365014,-0.47458628,0.13434981,0.37778628,-0.70912045,-0.117752455
0.42918175,0.10112436,0.5096448,0.65336734,-0.070905894,-0.51694965,-0.03259366,-0.01641636
1.6787665,-0.49749175,0.28682694,0.6508427,-0.42354855,1.741331,0.08292532,0.8110405
0.051987983,-0.42406252,-0.34948966,-0.8455364,-0.417205,-1.4652907,-0.22736332,-0.111557476
1.4120376,-0.4073721,0.039678276,-0.031997725,0.21462502,-0.7955138,-1.1888968,-1.6360624
0.7899668,0.46309042,-0.24060707,0.021827577,-0.28083175,0.7161931,-0.33585745,1.1438142
-0.8164791,1.7495188,0.82574594,-1.6574033,-1.5579354,-0.104168914,-0.6017055,-0.5769017
1.512958,-0.052193742,-0.3638194,0.28079078,-0.5097865,0.87939024,0.27657482,-0.00688483
-0.054171294,-0.18479204,-1.5457861,0.4119765,0.07876232,0.4188801,-1.0049838,-0.66144234
1.4319093,-0.4946525,0.3819339,-0.96730673,0.25261113,-0.63462186,-0.72482646,3.6302693
-0.07828421,-0.047912493,-0.34614372,-0.2519631,-1.1276745,-0.45872402,-0.53081155,0.6026344
0.011667243,-0.031626336,-0.45204067,0.2195752,-0.2384658,-0.47459224,-2.2752419,-0.38121673
0.69666773,-0.015004644,-1.9058139,-1.80422,0.029467141,-0.40380245,-0.32673916,-0.2628564
-0.26612517,-0.7870038,1.4391745,0.5646773,-1.198763,-1.2857488,-1.5830636,2.0965538
-0.09875397,2.2115486,0.5450491,1.4729388,-0.20477419,-1.5991658,-0.9233596,0.922598
