10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.40505025,0.032289825,-1.3005568,0.35279292,-4.4239473,0.7394755,-2.466002,0.50741816
-0.16619514,-0.717271,-0.64677024,-0.9836821,0.92240673,-0.014857369,1.2358817,-0.0035995096
-0.6238639,0.0077710473,-0.4712147,0.5350941,-0.26422584,-0.5897219,-3.0861287,-0.083437584
0.19854847,0.16354385,-2.313006,-0.3821687,-0.70461595,1.6934701,-3.7499683,0.7244201
1.1847961,-0.0711342,-1.8731213,-0.17253399,-2.284536,0.2555908,-0.0009972076,2.138672
1.2579612,-0.25880864,-1.1050998,-0.5245363,-1.2668788,0.112001434,-4.3623424,0.9050546
-0.30032042,1.4587172,0.7140134,-0.15135954,0.8948179,0.37709472,-1.3229939,-0.006761887
-0.37085235,0.9500941,-1.821106,-0.16977629,-0.69000447,0.19807035,-1.8675512,1.0934927
0.08517672,-1.1198385,-0.52791554,-0.35422897,-3.0308108,0.83220214,1.8027464,0.85029364
-0.39859167,-0.8119513,-0.51181334,-0.24458393,-0.14656731,1.6543059,-0.35674077,-0.10559814
0.42838988,1.0751008,0.4728036,0.08237122,-0.5596947,1.5414404,1.1331556,2.2362618
0.8117769,-0.11144535,-0.3543758,-0.8383314,-2.238584,1.9047928,-1.8669331,1.3269554
0.15020268,-0.025815979,-1.0489385,-1.01468,-2.2367263,-0.35158908,-3.7893205,1.7982111
0.833867,1.8710257,0.6780738,-0.36075178,-2.6570032,2.2337568,-2.9798918,2.9861414
-0.5115584,0.10159329,0.6087252,0.6148997,0.17759003,-0.48894078,-1.4964602,2.235596
0.5834583,-0.31251848,-1.5130814,-0.39481735,-0.9691543,0.9451991,-2.8170874,-0.7798436
1.1509905,1.2115908,0.4105473,0.46942776,1.4334824,1.7317551,-1.0843812,-0.63564813
0.7585744,0.07667698,-2.3660834,-0.5820866,-4.584392,-0.23858191,-0.2522457,-0.082867265
-0.19347279,-0.5532931,-2.3470237,-0.21304469,-2.2356505,2.075457,-1.1309597,1.6742432
-0.59129286,-0.36368093,0.9768374,-0.41229922,-3.9551883,-0.12162176,-4.180053,1.4267513
0.9378481,1.2077588,4.6232986,0.20196271,-0.22503935,1.7150775,-1.5750005,1.8861737
1.2933103,-0.8179245,-3.4025064,-0.35025036,-1.0951917,0.34273034,-4.209582,-0.10838485
-0.044811588,0.49578035,-1.1555749,0.12790468,-0.58666027,1.021103,1.5730472,1.2318997
-0.49077937,-0.6437833,1.0055285,-0.040994793,-0.73480535,2.0885897,-2.4956348,0.2148231
0.3130506,0.17398284,0.884448,0.87050754,-1.7135031,0.20397677,-2.4264178,0.57626987
0.16681285,0.82968867,1.0235533,0.4910103,-3.1851032,0.64488083,0.797486,1.0637848
0.12260872,0.17235342,-3.8056421,-0.5525221,-1.2605318,0.08772011,-1.4721311,0.47379655
-0.53033,-0.2730666,0.90486425,-0.743916,-3.2520833,0.35080022,-2.6421082,1.9958768
0.8097176,-0.43625268,1.0143479,-0.2811391,-1.3625116,0.3027037,-2.4727333,1.7982453
-0.097822815,0.117856614,-1.2647955,0.44014418,-4.0824704,0.4938295,-2.3873866,0.91804224
-0.8748349,0.024419632,0.41090244,-0.48942742,-1.2850522,0.8698792,-2.7347016,0.2975196
-0.5324542,-0.6384186,2.265771,-1.0035614,-1.156713,-0.38455328,-2.141435,2.1691587
-0.4100726,0.21345247,0.8289151,-0.52834415,-0.605124,-0.07905602,-1.4986084,-0.123161964
0.17171617,1.2601922,-0.9849798,-0.45403937,-4.1717973,2.0296333,-0.4915277,0.065009736
0.11989564,0.054524545,0.102259025,-0.755523,-0.22333694,-0.1728772,-3.2611966,0.23026274
-0.25730774,1.1469724,-1.0972289,-0.5614236,-0.99195343,1.1141114,-2.9764254,0.40861946
0.5447889,-0.6712065,-1.826138,0.13539141,-0.30590025,0.3165451,-0.7047013,-0.18999536
-0.44944522,4.2286854,0.68710077,-0.7225119,-0.40411323,-0.10690099,-0.60006964,0.5500624
0.23903057,1.2285444,-0.14712398,-0.109469146,-0.38970324,-0.31479827,-2.5698688,-0.20770603
1.1546135,-0.255938,-0.6515044,0.12782528,0.23490898,0.91858184,-2.7812254,-0.27291384
-0.17467877,-0.10165818,0.9752989,-1.744589,-1.8886036,-0.5962977,-2.9413424,0.469917
0.10588244,-0.0073663853,-1.2294937,0.07710856,0.077362135,2.194661,1.618864,-0.11700455
0.18068838,1.7454985,0.39662564,0.008587255,-0.2630323,-0.45859596,-0.8766957,-0.33825144
-0.40683082,-0.17381038,-1.1192366,-0.1979235,-0.68049514,1.7960358,-1.874139,-0.3723375
-0.15426622,-0.33437634,-1.4570577,0.2677451,-0.36244226,-0.14259215,-2.6145656,0.82419205
0.6424074,-0.28024462,-1.0410275,-0.22319435,-1.0343809,-0.21741344,1.7656516,-0.37302053
-0.18118271,0.6827904,0.54616237,0.27877244,0.12600502,0.7632924,-3.6205976,1.397361
-0.6990438,-0.071830854,-2.5473018,-0.08822299,-1.9111073,0.7510766,-0.9855074,0.29225352
-0.14890921,-0.11598208,0.36601958,0.9102695,-1.1413792,-0.1785565,-2.0556889,0.5076162
-0.47135645,0.111341685,-3.232841,0.09662156,-1.7096168,0.66230464,-1.1915231,2.0461435
-0.050177556,0.26180038,-2.6206155,-0.69988006,-0.7223847,0.05537234,-0.1829671,0.6312802
0.72254264,0.72027713,-4.569007,-0.24813136,-0.5202811,1.0143598,-2.6421697,0.7243347
0.6551688,-0.0067819506,0.3822976,0.27643654,0.20498592,-0.17062835,-1.367677,2.0330398
-0.5115105,0.6776299,4.9795647,-0.66400707,-0.18975118,-0.06603939,1.0601512,1.3629198
-0.71625584,-0.020061865,1.1689527,-0.2792642,-1.1740428,0.63013613,-3.21943,0.63718146
0.6707049,1.2229387,-1.0348487,0.2920546,-1.1834838,1.8105072,-0.6460607,1.345677
-0.9346919,4.326842,-0.41629916,-0.40876117,0.7543278,0.5248761,-2.3341966,0.21995598
0.034048066,0.96393985,-0.8429375,0.5994763,1.8743558,0.00045420756,-2.088846,0.5118612
-0.0013365826,0.5082937,-1.5070931,0.5339876,-0.92868197,-0.8096062,-2.6797187,1.3001059
1.3454465,4.316926,-3.0349073,-0.5960031,-0.50787574,0.61323994,-1.3929248,1.5935036
-0.3707068,0.35989374,-1.9736129,-0.4659828,-1.2572875,-0.07462664,-1.1597251,0.032173604
-0.6404267,-0.25996545,-1.2589148,-0.7261993,1.5074346,0.46286312,-0.66226196,1.9509034
0.7238348,-0.2117327,1.0837861,0.014881274,0.7417653,1.5218258,-2.5302196,0.44544443
0.12482896,-0.26306403,0.1298436,0.539287,-0.4104619,1.3563918,-1.3384438,-0.3286277
0.9162839,-0.52594244,1.0101746,-0.8125731,-1.2027826,0.14860784,-3.000519,0.2408871
-0.21645445,-0.41089776,0.24639735,-0.10749949,-0.06923763,2.264679,-4.137025,1.30487
-0.33193052,-0.22600539,-0.44737053,0.21019736,-4.616258,1.3366287,-0.9049215,0.8390545
-0.31994525,0.13619673,-1.9923012,-0.27158198,-1.9651631,-0.6296273,1.8090507,-0.1971978
0.1615045,-0.031520467,0.7470801,0.40937078,-0.6263608,0.053984106,-1.841033,-0.4358002
0.013929316,0.14624326,0.46880367,-0.5258272,-0.8825355,-0.0431463,1.4620737,-0.10904055
-0.07460957,4.5045023,0.66819227,-0.17402382,-1.8376043,1.209495,-2.2965417,0.14738522
0.55525446,0.70272166,1.3911464,-0.5048876,0.8511303,1.7695756,-0.5354424,1.6803493
0.9055366,-1.474999,-0.5768743,0.12694077,0.45552066,1.4205325,-1.9583176,0.7619041
-0.07291269,0.2337398,-1.2436903,0.008401986,-0.79980314,0.3387603,-0.6350129,0.2877422
-0.25137278,0.3689002,-0.58999515,0.31466338,-0.8361039,1.5311747,-1.7586268,0.8066282
-0.37715876,0.037329543,0.23135215,-0.81664383,-1.4423224,1.0567805,-1.8216217,0.08598183
0.11885073,-0.02734813,0.47688037,-0.16291195,2.2488635,1.7012327,2.464636,-0.37130615
-0.15057749,1.1455367,-0.35742465,-0.72471803,-0.6155315,1.7529304,-2.1300592,0.81814736
-0.8489316,0.7616446,-3.4054246,-0.43888658,0.9826951,1.5745993,-2.3019888,0.7394362
0.90525186,0.9685626,-1.119514,-0.62344086,0.2584424,-0.33257896,-1.269855,1.1148643
-0.45121592,-0.18053725,0.62038773,0.11503148,-2.0500572,0.86537635,-0.9931436,2.4367826
-0.6918392,0.4518368,1.3435442,-0.12197863,-3.1705089,1.5476217,-3.507179,0.2877866
-0.1607169,0.7933435,-1.5632492,-0.47448894,-1.513329,0.9480763,-3.7431824,0.48578352
-0.6663157,1.1488305,-0.66862255,-1.258096,-3.9507997,1.4788759,-0.35318223,1.8429592
-0.80520284,-0.6467233,-1.1283122,0.0431907,-0.3292646,0.7098052,-1.2101729,0.45999956
0.7608505,0.051544875,-5.204974,-0.37343973,-1.7459277,-0.07499377,-0.7094893,1.7274196
0.45521757,0.14399062,1.2247118,-0.16620155,-4.726267,-0.20485955,-2.4349213,1.3031112
0.11792577,-0.6639829,-0.96018624,-0.3222654,-0.74099183,0.7736879,-2.4503713,-0.46479434
0.97765017,1.1192836,-0.48814505,0.39252412,1.0469569,0.065236844,-2.4290235,2.7220216
0.18922356,0.18231505,1.1555741,-0.333332,-4.846859,1.0002282,-0.9639821,2.3737261
-0.7694707,0.99659497,-0.84586763,0.2876534,-1.1570818,0.77188987,-2.008738,0.55321115
-0.9408019,0.08398998,-0.71502,-0.18607484,-0.43855107,1.9179956,0.94763064,1.5653939
0.5150261,-0.5821656,-0.5082907,-0.40869972,-2.4852068,-0.056593236,-2.1744795,1.1953582
-0.8472903,0.56862813,-3.4191926,-0.7700508,-1.6460669,1.1374074,1.8563019,1.4690711
0.83255774,-0.031954184,-1.5244349,-0.20914465,-1.1475776,1.3241038,-2.969124,0.9450727
0.37026367,-0.20723324,-0.7270002,-0.13260812,-4.661483,2.1772099,-3.5905585,2.116976
0.5256351,0.51363444,1.1700531,0.07331012,-0.79987144,0.7076417,-0.14697541,-0.5634564
-0.4316594,1.8329763,1.2508441,0.1611139,-2.1118107,1.8510119,0.019643623,-0.09440004
0.1473323,0.8068869,1.1596329,0.3665438,1.6766406,1.2381049,-3.8711972,0.58018357
1.1675539,-0.13641766,-0.3114694,0.8793134,-2.8137355,0.42183074,-1.2119282,0.42242327
-0.8942314,0.38258705,0.8686737,-0.38325128,-0.8445665,-0.06298117,-1.574116,0.74307674
-0.45917353,1.060832,-1.1227721,0.026528453,-0.7043769,0.7630345,-2.8238766,0.044116188
-0.45252988,-0.02065193,-0.22912039,-0.6649342,-4.973472,1.0361533,-0.43829322,-0.30088347
0.030252613,0.5944914,0.5432681,-0.69029987,-2.5707192,0.04575885,-2.758973,-0.09982663
-0.7742881,-0.36967096,1.236312,-0.35049456,-0.26479447,1.0654924,-3.0480707,0.99756616
1.0359147,1.6413567,0.8841406,-0.17761394,-1.5336455,1.6520946,-3.4647465,1.4980346
-0.1220718,0.47732347,-0.53492844,1.264063,-2.1584575,1.494599,-1.8748595,-0.183172
1.1440028,-0.6262884,1.0806553,0.083839715,-4.576484,-0.3297359,-0.48146343,-0.16263022
0.1485835,-0.5680122,-2.2899694,-0.3468677,0.91149896,1.3843017,1.2152408,0.82131654
-0.12573823,-0.47214535,1.13518,0.26830262,-0.5176156,1.318807,-0.8729186,0.55078304
0.7815448,0.96544546,-0.25104702,0.10909434,-1.5738667,-0.41587654,-0.94451946,1.4242651
-0.686279,-0.027144024,-2.081541,-1.7410015,-0.8858055,1.5415753,-2.0362809,0.5751258
-0.071805775,0.51020527,-3.6718855,-0.38647258,0.13422687,2.189458,-3.52588,1.4883391
0.072558805,-0.7454471,1.2733717,0.4544859,-2.0116801,0.050029427,-0.61365145,-0.17100403
-0.7999959,-0.8787456,-0.68699664,-0.3707708,1.7828876,1.4990045,0.59556514,1.7948302
0.4890176,-0.52981293,0.8086064,0.63567114,-0.89281493,0.238266,-0.70869696,0.22949435
-0.55895877,1.0664855,-1.1628534,0.23498411,-0.6467608,0.7950152,-4.3331127,-0.5237252
-0.84146047,0.032472786,0.6993456,-0.47355747,-0.8414878,-0.1141666,-3.0212896,0.98337644
-0.37481302,0.99325824,-1.091144,-0.17551792,-0.25796598,1.8353571,0.028051585,1.6855711
0.7771355,1.9733675,-0.021545831,-0.40652943,1.0056634,2.1992302,-0.39582995,-0.21967936
-0.50277615,3.9214752,0.89886653,-0.42063376,-0.54036355,-0.24397606,-1.2217705,-0.094311245
-0.36328226,0.42594466,-2.442864,-0.45316765,-3.0731957,1.8913578,0.9307806,0.42019323
0.7676778,-0.13469757,-1.2245905,-0.7383229,-0.28744507,2.2466848,-1.757329,-0.58853006
0.3835183,0.26838216,0.8271043,-0.40940663,0.11604832,1.4997097,0.89886993,0.8155041
0.57461524,0.5210572,-2.301188,-0.3389447,-0.26989663,1.3990498,-0.8176487,0.620871
-3.7922757,-0.2836689,-2.0673513,-0.8728836,-2.8923664,-0.35204673,-1.8013222,-0.3772484
-0.49877626,0.05862714,0.594457,-0.51168615,-0.5800128,0.64050776,-0.69563764,0.6821583
1.0157909,-0.28830394,2.628576,-0.46072698,-1.0611176,1.7420738,-0.8932692,1.2880028
0.7510911,0.45157495,1.3316554,-0.370256,2.491506,0.9847083,-4.300362,0.22067316
0.10817098,0.30124024,-0.5053503,0.047241855,-2.4323106,-0.22908282,1.2934806,1.9796995
-0.21669585,0.29589742,1.2010998,-0.24641699,-0.6245439,1.1419102,-0.8043435,0.59454405
0.015860552,0.16539302,0.31301388,0.41101515,2.4981177,-0.060950898,-1.3258079,3.5422587
0.7719787,1.3724701,-1.5504136,0.025813844,-3.1639295,1.152415,-1.5911915,1.3391303
-0.45757154,0.26675728,-3.4594223,-0.02360001,0.09815835,1.5843254,-1.089381,1.1557431
0.9947482,1.1445928,-2.5965936,-0.8450395,-2.912314,0.06926153,-1.1988826,0.5791624
0.13206255,0.48445782,-0.40746686,0.0051004435,-1.5181222,0.74326795,-2.4298568,-0.5246951
0.08111799,-0.028435543,0.64418757,-0.62622076,0.9051144,1.9171367,-1.0424063,-0.14072238
0.18391308,0.41191673,0.50817543,0.058416896,-3.1877737,-0.033635266,-2.8464913,-0.11388315
0.42893714,0.24475607,0.21009661,0.6272436,-0.37291294,1.5549283,-1.4299308,2.803147
