10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.094466634,-4.327152,5.9499702,2.6961172,0.9536993,7.636115,-1.1242594,4.3443313
-1.8594533,2.1132195,1.9577771,5.9634924,-1.0241373,-0.03409801,3.19673,2.516887
-0.6920802,5.644167,2.845022,-0.96969384,-0.13602833,-0.3596026,-0.8364147,2.3357675
-2.1847808,0.8853863,-0.76303965,1.0725846,2.5521836,0.25135267,-0.5171546,2.3094165
5.291592,2.0017755,0.87284946,0.14600126,-0.6892412,7.9102173,-0.31359446,5.9980445
5.049526,-0.4324581,3.0545723,-2.3316915,0.027815944,1.1037363,1.6396995,1.1003435
5.5544286,-1.561539,4.589247,2.9426315,1.7920264,-0.6983629,0.6965324,2.2323618
7.9762545,14.194693,2.373618,-3.6503458,-0.6758813,7.944433,0.6539735,6.805354
-0.69163954,4.6359415,0.83713186,-1.2231493,0.08813505,0.7431946,0.50338835,9.247567
3.0850272,4.941981,4.498031,2.1383264,1.476557,1.8706367,0.25512463,3.0336897
4.5201445,-6.331354,6.0909915,7.9278607,-1.0037236,0.71224356,1.367216,2.405217
5.297511,5.9229546,0.40348998,0.28653836,-0.6573237,-0.672094,0.073021546,4.3658686
2.0353155,-7.2101955,1.5979363,0.050746594,-0.729039,0.25193152,-0.7602307,2.0605688
-1.2480364,4.109108,8.490984,-1.4309613,4.343611,1.5833147,-1.6473494,2.4819849
-0.5109737,-2.6063356,6.6148467,5.608786,-0.3874954,0.15795323,-2.2319043,2.9913871
-1.0752318,-1.8035125,4.8349013,3.9603944,-2.018128,-0.9694497,-0.19286746,2.7019475
0.40762568,-6.851938,6.855959,-4.013792,-1.6134973,0.26087564,-0.5753649,2.9909396
5.6491237,-0.6927767,2.9812665,3.9048889,-1.4936308,0.64460075,-0.76014197,2.0790002
4.03696,-3.337961,4.3266563,-2.4996912,0.49198192,3.2494555,1.4431028,4.864194
0.08618674,1.0079418,1.3683523,-0.7986121,-0.5336614,0.9596449,-0.97901535,2.596807
1.4587055,3.2362382,-1.3028176,3.5384758,-2.3827233,6.712209,1.4279739,2.6455848
-1.4421235,2.987033,1.936712,-0.2561756,-1.1532534,3.9228745,0.58551455,6.212523
-1.6990898,-1.1314033,0.10514222,1.0709105,-0.7789335,0.12481829,0.357656,4.785869
-1.8416516,2.4896653,1.2777737,8.479221,-0.5850586,0.42415813,-0.65982354,5.70289
-3.9098074,-1.1848465,0.880279,-1.6171641,-0.54685736,1.9298238,-0.94995975,2.635862
1.1772975,-3.0904875,2.6755207,-1.5270116,-0.29141682,3.3694108,2.5896933,2.3341112
1.2338731,-10.021377,0.9686232,2.0355294,-0.4898321,3.5854359,-0.6500427,2.6370573
10.957796,3.883116,6.9968233,5.2062325,1.5210865,0.14885543,-1.5562141,5.8234515
8.199391,2.8085074,5.123895,0.8539102,4.3916373,0.26338917,-1.8244253,2.5233212
-0.12097118,5.883512,4.067097,-2.02536,-0.7711522,6.0099516,-0.23890293,4.983818
8.512462,-4.4163446,4.2374687,-2.7971518,4.510551,-0.18428361,2.5020142,4.332348
10.180797,6.7593374,2.1426628,1.1412051,-0.16359498,0.32644546,1.0462996,2.3982432
1.4722775,1.2903578,0.10634775,1.3131653,-2.081128,0.9276011,-0.8406938,3.9990823
2.272773,0.5346821,0.30826178,0.30268154,-0.9441985,-0.23487653,0.010788283,3.7278454
2.461572,7.5061426,2.5612926,3.933253,-0.9337363,1.2437142,-0.6093826,2.0464406
4.2042007,-7.483091,3.1215303,0.9974466,-0.2817419,2.9724095,-1.344994,2.0949214
-2.24858,-8.918005,6.2571282,-0.35385415,-1.8086562,3.8214974,0.9105666,3.8896594
