10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-0.1372727,0.041826323,-1.095996,0.12764513,-0.4946662,-0.6557886,0.56401306,-0.1266761
0.09195185,0.47604835,1.2290242,-0.2345999,0.036247812,1.350284,-1.1953787,1.5122857
-0.056992803,-0.21420923,-2.2844207,-1.7375429,0.26214606,1.3780009,-1.3054096,0.51572365
-0.14757423,0.71633315,-1.7536697,-0.05953961,-3.2749474,0.78416884,-4.087547,-0.453767
-0.7703834,0.5205143,-0.21337168,0.41265184,-3.5556273,-0.99473506,-0.8124851,-0.5522788
1.2536188,0.45185712,2.5963938,-0.06089284,-0.7346312,1.9058754,-1.4273728,0.717887
-0.6504173,-0.6489354,-0.45975965,-1.2623862,0.59570175,1.4653949,-2.2696888,0.065610796
-0.4049875,-0.38634494,0.1550726,-0.0699343,-0.45373967,0.5215771,-5.439733,0.22096343
-0.108983345,0.34529278,0.13675831,0.71960735,-1.6926079,0.10547348,-2.9796767,0.17663209
0.01931492,0.28230858,-0.4158791,0.69362617,-0.9856424,1.3245836,-3.7783477,-0.9178203
1.0932276,0.35584942,1.1213036,0.21608497,0.42223203,0.6844464,-3.9459264,0.78290695
0.45317897,-0.08393277,-0.48102972,0.7120771,-3.3966358,-0.4398317,-0.884687,0.20806122
-0.28487372,-0.5578335,0.80741113,0.14740145,-1.4158742,0.33787748,-3.7358024,-0.6741943
0.026294092,-0.47341537,1.1553196,-0.12015156,0.5397181,0.148893,-1.4566846,0.80709606
-0.20872737,0.12744395,-3.9338233,-0.0011594245,-0.9532194,1.0265893,-1.0066844,0.20777775
1.2347214,0.32595995,-0.41031334,0.2486479,0.3540121,0.90980166,-0.89429027,0.6811406
0.35155666,0.18584752,-0.8090922,-0.4601831,1.0427837,-0.5369877,-1.6361887,2.4368815
0.24526194,0.20354304,1.304502,0.31790942,-0.06552883,1.4909397,-3.9264278,-0.04483336
-0.43893483,0.57503784,-1.3171866,-0.035341103,-1.1824355,2.323724,-4.3467765,1.1615248
0.039690226,0.72902274,0.34452754,-0.25327963,-1.4873437,0.21703778,-1.5521263,0.50996923
