10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-0.25474426,0.79607004,-4.8271317,2.555684,-0.682954,1.3046805,-1.1152879,1.2381425
0.018666906,-1.8055459,-0.9676755,1.454791,-1.2216288,4.8217206,-4.14476,0.8422784
-0.28434888,-1.3599892,-0.63254803,3.8929353,-0.71945965,5.7557726,-3.957869,1.0803822
-3.1656473,0.96976256,1.7468327,3.4571898,-0.030119425,5.5472746,-3.1976519,-0.87917167
-0.09152047,0.2231397,3.3501172,4.567343,0.7675544,5.796298,-1.8173801,5.270532
-1.528144,-0.75535464,-2.1315944,7.2735004,-0.55346215,7.7438,-5.3426523,5.6015677
-1.3353118,-1.2434367,-0.6975894,2.7136092,-5.792171,4.307749,-2.677697,4.150289
-2.3884578,3.1592112,-7.268801,4.5311747,-4.4072304,3.9553726,-2.4174223,1.7127484
0.5247352,-0.990797,-0.61778206,6.9255776,-1.2789358,5.912679,-2.5200903,0.5951963
-1.40093,2.3783264,0.18268023,2.3344586,-4.475898,7.989212,-2.7414908,1.7818699
-1.3547233,-0.9895077,-3.4023852,8.444251,-0.7418217,4.153132,0.27669436,1.0004553
-4.342396,-3.3919322,-0.37892264,4.0749965,-2.397229,1.4117044,-2.569121,0.9986931
-7.2291694,-0.869801,-11.402225,4.077504,-0.2930595,4.857434,-1.2635337,-0.011857208
-1.538611,-0.89000624,4.1374297,2.2615497,0.26861253,5.1823716,-2.4247956,0.661193
-6.7525682,1.5148449,0.07683792,4.258761,-0.65921223,4.143408,-1.8695422,-1.2270263
-2.321092,0.5357412,1.7373601,4.313884,-0.65065914,7.2150326,-4.22926,1.9822643
-0.4350557,0.17243153,2.9413764,6.7065964,-1.3731275,5.6124516,-3.8940854,0.8553514
0.13266788,-3.089663,0.38691482,3.096823,-1.6753173,1.3827837,-0.9163108,1.8107138
-4.596525,-0.73965585,-0.67492855,4.3479977,-1.3824012,2.7942302,-5.190421,1.2946827
-1.9512086,0.030264886,-0.8321347,5.42706,-0.2582204,1.3437765,-3.0988703,2.1342769
-2.3066695,-1.4142089,-3.2889135,3.3625524,-7.9739757,1.5085274,-1.7675811,-0.47976953
-11.237711,-2.6467597,-10.511293,4.1307526,-0.51996005,3.8980331,-1.3850052,3.3354065
-3.6835732,-4.4129577,1.9178675,4.558479,-2.5362353,2.0037024,-5.09599,5.297829
-0.5989615,0.80224,0.6816665,7.5334163,-1.6149657,1.4074817,-4.403102,-1.0398552
-0.19912562,1.217281,3.2213936,3.081442,-0.71511734,8.526311,-3.3794818,1.1527447
2.549163,-3.7580318,-13.343482,2.4171731,-0.70852965,4.6296077,-1.8332876,1.027882
-2.515687,2.0461266,0.3024937,3.0314965,-0.2439197,1.6068156,-1.5589188,2.452929
-2.4303377,-3.1949134,1.3838116,6.1132135,-0.19603837,5.8871055,-4.9890156,2.499897
-2.7262962,-0.7461357,2.111997,5.001614,-1.9462913,5.2666903,-1.7953185,0.9544745
-4.6372666,-1.3923569,-0.6390393,7.35994,-0.038312238,3.5353944,-3.5360434,6.589568
-0.7372245,-0.638022,-8.941246,3.461124,-2.0104456,4.378716,-2.6888576,-0.6109502
-2.1170852,-0.10015789,-0.41914904,3.369042,-0.48827824,7.9725633,-1.1649638,6.898931
-2.3448994,-2.7690585,-0.019507019,8.394297,-3.2031178,1.351913,-3.7227433,0.97854066
0.38536438,-4.8555665,-1.0481309,5.127937,-3.7178988,4.008518,-3.1376793,6.2851434
-1.6641936,-0.86408454,-0.66239256,2.304264,-0.59325993,3.452517,-1.8795792,4.6938524
-4.125625,-0.6432,-0.5776649,7.055901,-0.25796086,5.0053263,-4.2170815,0.7838598
-2.338952,-0.09049741,-0.31253237,3.4641054,-1.1053021,3.402899,-3.783904,0.81986856
-3.2549918,0.6003083,1.9376588,5.014308,-4.197636,0.75987726,-2.9651046,2.9870396
-0.5799133,-3.2832134,0.17117904,3.2604504,-2.3122067,2.0538242,-1.9441928,-1.4256892
-1.9449056,-5.8899817,-0.7795636,3.1360095,-3.8909247,7.247158,-5.0526185,1.2993956
-2.10003,2.0871677,0.32648045,3.5316978,-1.2057332,3.8701284,-2.2040575,5.5647154
-1.550358,3.4028094,-4.9850526,4.067017,-3.4304981,5.778594,0.36960542,0.23128727
-0.2447833,2.2476056,1.7291801,4.977903,-5.5279756,8.16755,-4.432704,2.6272662
-0.29488656,-0.9241892,-0.7181431,4.0334644,-1.1502379,4.044203,-3.9316924,-1.0279844
-0.58242476,-0.6424972,1.4754386,6.611623,2.32884,3.949712,-6.8356633,0.8717336
-0.47806925,-1.0173026,-0.9103788,2.751147,-5.4220138,1.8729982,-2.1097088,3.62167
-2.4094176,-0.32975596,-0.82799906,2.794949,-6.6003137,1.7130694,-1.103038,6.6901083
-0.7892932,0.8955893,1.7864631,5.269533,-1.9944527,3.7587469,-2.5087078,1.2963289
-0.3828641,-1.9441808,-1.511175,5.4776764,-2.249796,4.341121,-0.6864886,3.0234344
-5.1340103,-3.4551733,-0.68113714,3.9167693,-1.1799425,4.7943826,-4.0980587,0.7536362
-0.10398034,1.9990819,-1.4959044,2.8073707,-2.9706318,4.3232207,-3.149366,0.66539013
-1.4819763,-0.33519948,-8.589266,2.232472,-1.6327293,3.644073,-2.734828,4.501443
0.30408427,-0.54122895,-0.8640667,3.3606706,-3.4494126,7.368734,-1.6125222,3.411413
-1.5393153,3.9310656,-1.0127599,3.0313325,-1.6459867,8.820793,-3.092986,-0.35490003
-0.5886735,-0.6970402,-0.7064183,4.0689473,-2.9607792,2.0248606,-3.3170435,5.3105845
-4.4248776,0.8353368,-3.2159176,2.766393,-4.1468925,5.400065,-3.1844969,0.93187
-2.3137257,-0.56148463,2.2134798,6.719632,-1.2265055,1.4859486,-1.7695004,0.88835824
-0.6596955,-5.84664,3.4387934,6.740445,-4.12186,2.2432406,-2.1545148,-1.0284591
