10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
1.607776,2.4180946,-1.696513,-0.05333438,-2.2208085,-0.14608578,-3.7639496,-0.3729727
1.0461608,0.3417502,-2.4749036,1.8871555,-3.802612,0.60670006,0.15706019,1.1313524
0.39534402,0.46083978,0.39243874,1.1869673,0.040103454,-1.1291839,-1.1680715,0.61260986
0.9918175,-0.15419556,0.7228773,-1.117062,-4.4867716,1.8920665,-5.0717087,0.5002806
3.067224,0.42427808,-0.7548554,2.5562348,-0.02219299,-1.1942756,-0.21826552,0.9587468
0.7508086,0.4619675,0.6107017,3.2788782,-3.8542516,0.42390713,-0.89889044,0.19717048
-0.10356082,-0.7114389,-3.0728269,2.3963947,-0.6833894,3.1125803,-5.4163756,-0.41111588
0.7852905,-0.009720639,1.7891765,5.6026707,-1.9081277,-1.2823696,0.388788,1.6368821
1.7440275,0.17417777,0.32647192,3.4224598,0.6085237,0.044415012,-7.233194,0.20189014
0.39534158,-0.1111181,-1.1313473,2.5961258,-1.9968586,2.1254268,-2.208275,0.017253056
-0.09688452,2.326836,1.3368831,1.8366036,-1.0705382,2.4466283,-1.545641,0.78672504
0.37521172,0.05144445,2.4405913,-1.0085832,-0.20608558,-0.37711352,0.9871877,-0.12748547
0.78729665,0.18316518,0.56132627,-0.6161138,-5.6484227,1.573416,0.51572704,-0.0068165283
0.2602127,2.9034057,-0.57152456,3.1432972,0.44536075,-1.4805578,-2.548398,0.11327868
1.820961,0.24152657,2.3432722,3.9920473,-0.32151234,0.5270071,-1.729011,1.2347922
0.75717926,-1.1076831,2.9653401,0.07085467,-3.9252565,0.6775513,-6.8749094,-0.015149359
-0.80111116,-0.98611104,-2.1559286,3.2525957,-2.0843108,-1.0979323,-4.536422,0.49871308
1.4788094,-0.37654832,0.22395933,-0.13820973,-0.9033642,3.9973953,-5.0155,-0.38521582
-0.21473558,-0.07688146,-0.7828267,0.099380955,3.5543823,-0.768678,0.36146724,-0.010590208
0.23878233,-0.84089017,0.2545364,2.5915163,-1.1282994,0.4591082,-0.086398475,1.3002596
-0.7545045,0.3548394,0.4617054,0.55774724,-1.2486473,-0.25806502,0.16062213,1.3903224
-0.57286584,0.31561106,-1.8312966,-1.2326877,-3.2555718,0.20009892,-6.9018326,1.590331
0.73119265,0.0015692359,-1.1218303,-0.46804297,-4.177082,1.3364033,-2.1306398,1.5401974
0.2906433,-0.08329245,-4.0937114,1.2547894,-0.74012953,0.17721267,0.9333931,2.478795
0.8993237,0.09433499,-2.299482,5.0879264,-3.288362,2.5132515,2.0877428,2.4294708
2.3947287,-1.2073054,0.82066935,2.659416,-1.2610595,1.4651762,-6.872406,-0.10320074
-0.0071853586,0.2683373,-0.4345426,-1.8827937,0.22720282,-0.6106701,-2.9039915,1.2062864
0.26418275,-0.7042343,0.88660717,0.3276066,-1.8463538,0.63843143,0.8008089,-1.1498042
-0.13174452,-0.99264437,-2.228216,-0.37716728,0.92444897,-0.57741565,-0.5918495,0.91132134
0.11640008,0.8747963,-1.879154,-1.2326596,-3.7229533,-0.18538328,0.04062938,-1.0339471
0.3826405,-0.86688215,-0.51830375,2.5881028,-0.04795817,-1.6047392,-0.5269832,1.7641046
0.65438163,-0.2845555,1.3160425,-0.41493398,-3.0084865,1.2687895,1.7415991,-0.9055123
0.7261639,0.13256015,3.3934035,3.2519264,-4.128477,1.0317051,-6.81159,0.81916505
0.046250623,-1.0487357,2.3353457,0.44064707,1.8380772,3.495175,-1.1449856,0.2247098
0.6696274,0.12840158,1.2223109,-0.6091282,-3.003263,0.7686319,-4.608755,0.29246184
0.2776015,0.38245216,0.855634,5.5252495,-0.1442331,-0.009085858,0.39242166,0.5339944
0.6242686,-0.21230917,2.4180174,5.5339494,-0.23651236,0.5432937,-6.7530966,-1.1716677
-0.14367943,-0.2887919,0.84082013,0.39393967,-1.209314,-1.6282214,-5.0245395,0.8066043
-0.580146,-0.28311774,1.7296667,2.2221081,2.282137,0.71625626,-2.2949162,1.097082
0.8049489,-0.37748063,0.5868456,0.46094382,-2.4708087,0.28924653,-6.967882,0.53547317
0.91378874,0.39814815,-3.3985398,0.23595057,-0.55133456,0.41307104,-3.3496954,0.035069603
-1.3926828,-1.0315322,1.3974651,1.1319083,-0.22159182,3.0711193,-1.6397064,1.6175834
5.4491496,0.18606259,1.5959197,4.41863,-0.73785675,0.3767703,-0.43753847,1.4536076
-0.18131164,0.22236662,0.42837235,2.6858692,-0.813607,-0.12253871,1.3534429,0.73819995
-0.007632309,-1.0964464,3.1877763,0.29733434,-0.88058895,0.564638,-6.8251343,-0.83307815
2.174862,-1.344423,0.7879545,0.21491615,-0.22852446,0.13668744,-3.615465,2.3766665
-3.2231822,0.6643761,0.9241177,0.7111149,-1.2892323,1.5016938,-1.522152,0.83131254
0.6012056,-0.65735495,1.263462,3.0543213,-4.2482066,5.121124,-0.7651997,1.378677
-1.0266035,0.017848564,-2.5855663,5.3272586,-0.38445595,-0.40189344,-0.42317116,2.0832043
0.7728427,-0.039097708,-3.1152475,4.772265,-2.2270634,1.278666,-4.5657797,1.9547284
0.23786218,-1.5130212,1.8688967,-1.7726697,-1.7984502,0.43046582,-7.717229,-0.120993376
1.4326923,-0.7967763,-4.778159,4.2119513,-1.1617143,0.22817612,-5.0758753,0.09899676
0.7641807,0.8018125,2.999095,-0.33555692,-2.0131998,1.2088444,-4.441498,0.3775831
-1.4328865,-0.7368717,-0.113268435,2.3875096,1.0832269,-0.50453067,1.0700583,0.012444604
1.5846319,-0.13913777,0.33850074,-0.39658552,-0.6770339,-0.24429536,-1.1007771,-0.17266376
-1.2507437,-1.0194757,1.7437284,-1.1614403,4.064143,0.3545773,-6.5237985,0.89254856
-1.1225603,-1.2287326,0.156676,0.25177613,-2.1702669,-0.68638104,0.26572168,4.203568
0.6635528,-0.30307782,1.2246665,2.9730053,-3.0441554,-1.0494004,-1.2179388,0.47673693
1.135699,-0.1395399,1.2095325,2.6471088,2.2325513,-0.9786704,0.41018698,0.39217237
0.50042915,1.2220392,2.585826,-0.21003856,5.416314,-0.33509588,-0.40673774,1.9984484
0.23431389,0.18647216,1.9477905,-2.170599,-3.4856024,-0.6181423,-7.634483,-1.2278562
2.1419907,0.28733367,-1.0041385,0.006516854,-3.4541306,0.2734022,-4.5800004,3.0586405
0.39694965,-1.2938375,2.9358952,2.2400663,-1.5380287,-0.18091291,1.3000547,-1.0823629
-0.11162428,0.4056353,0.8430553,0.86151135,-3.3723476,1.7262534,-0.90631485,1.1183853
1.6601903,0.7026578,-1.7795945,-1.0109978,0.8192111,0.025536368,0.65039104,0.032170188
-0.2488957,0.57629377,0.643572,3.4493616,-1.6298674,1.5370469,0.022884548,1.3062975
1.0558788,-1.0564592,-1.7533487,2.0250657,-2.4847152,-1.0133712,0.86794627,1.97596
1.3384191,0.67738384,-2.0541282,3.69369,-1.7864957,0.38076082,0.70466375,-0.40019783
-0.46964207,0.26303655,0.106938556,2.6349247,0.62796414,-0.010900982,-6.949541,1.1355189
0.9547567,-0.20423049,-3.0787606,1.0215546,-3.1864316,3.5068119,0.066631906,0.1833086
-0.81241596,0.120330475,-3.2101734,0.18959579,-5.9883,0.7339687,-0.27261332,-0.4970226
-1.0564535,0.98962283,0.40151605,-1.3080511,-0.7506224,-0.17718193,-3.8260362,-0.17058396
0.35132068,-0.5918375,0.042161047,4.4756026,-1.775955,0.2129909,-0.9542935,2.076811
0.18151355,-0.24781974,-0.82202435,-0.7556904,-0.59671944,-0.48586547,0.14481366,-0.0074653965
-1.0405691,-1.0048164,-0.9081137,1.2490776,-0.3438727,1.251125,0.6863793,2.1320162
-0.9419586,0.21614923,-0.24702573,4.2647443,-1.8081661,1.9421642,-5.3833942,-0.39954898
-0.59478605,0.98005694,-0.5151789,0.69050306,-4.6225524,-2.1431818,-2.5256262,1.0722133
