10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.21722904,-1.5374793,0.4508061,-0.38272706,0.066273324,-0.40784252,0.020309566,1.2814698
-1.6192718,0.28613645,-0.23834713,-1.4136151,-0.80394566,-0.62772506,0.5044368,1.3002869
-0.33851397,-0.62495756,0.32246175,-0.46375787,-0.5484522,0.56806,0.16611019,0.2769778
-0.58432704,0.18068369,0.76665455,0.19599482,-1.8705821,-1.2349306,0.3812816,-0.047968417
0.11076432,-3.710611,-1.235512,0.31281325,-0.13750365,-0.13771538,0.46889588,-0.13234174
-0.020105409,-0.09622509,-0.70389706,-2.7541986,-0.3281496,0.39979658,0.66809493,1.3494267
-0.43593252,-0.44662696,-0.9803404,-1.041778,-0.7955326,0.8751948,0.21651699,1.0715883
-0.45663655,-0.31885713,-1.0969284,0.0042133727,-1.2117404,-1.9257854,1.5908535,1.1164763
-0.06595999,-0.6835209,0.2533411,-1.0476092,-0.26449564,-0.6010464,-0.053449642,2.2039142
0.24549577,-0.52026445,0.34723315,-0.008250868,-3.0969903,0.9265083,1.9143414,0.94595385
0.08791904,1.0705135,-0.009714236,0.40771106,-0.16342251,0.5071074,1.6490808,0.3211384
-0.91266775,0.36420915,-3.3552363,-1.1994734,-3.330359,-0.16279072,-0.8662216,1.4931784
-0.79463017,-1.1582276,0.3133332,-0.5669705,-1.6300262,-0.64155966,-0.061051644,0.36519995
-0.6764999,0.2318427,-0.4725483,-1.7312591,-1.6988096,-0.30467764,-1.1743212,0.3297581
0.10554606,-0.48308793,0.20006306,-0.31158894,0.13945368,0.3982376,0.1163591,-0.08700636
-0.12758729,-0.2551101,0.2121764,-1.5935906,-0.08304144,-0.42511436,1.6124675,-0.37113196
-0.49514556,0.5426474,-1.481678,0.053395,-0.06069135,-0.939262,-0.050078943,0.19598544
0.27231428,1.1059418,-1.5268358,-0.84485763,-0.8746842,-0.3355501,-0.6361774,1.2191033
0.9940802,-0.7131631,-1.6281872,0.11554118,0.17927025,-1.7890126,-0.808387,1.3864293
-0.57246757,-0.45043388,-5.0220585,-0.95486295,-0.293541,1.1623342,0.9981877,0.5137429
-0.37507927,-0.7124314,0.1947987,-0.6617394,0.13265763,-0.4048748,-0.34370536,1.3024658
0.18254577,-0.5160707,-0.05412071,-0.75671744,-0.08355882,0.18399163,1.7220374,1.1017948
0.10939956,-0.40193057,-0.004175807,-0.5588102,0.1470181,-0.60138273,-1.4427066,1.1931999
-0.69099057,0.02449994,0.12965576,-1.1838305,-0.40886706,-0.46348295,1.5649875,0.9889533
-0.08618151,-1.1703601,0.12847415,-0.0064963633,-0.6379089,-0.6681769,0.9326179,0.0067892075
-0.39748496,-0.12789272,-0.14453875,0.2357508,-1.0278922,0.38146776,1.132319,2.7845178
-0.44989002,-0.03565444,-0.60650367,-0.9176171,-0.82562983,-1.6649917,2.1151114,1.8725373
0.46261296,-0.24533953,0.035904594,-1.2242465,-0.54839414,-0.23199761,2.1263368,-0.2664491
-0.31592333,0.26119283,-0.836594,-0.30716896,-1.5587584,-1.4184902,1.7998333,0.29674438
0.2746197,-0.27492705,-0.6023851,-0.40834966,-0.03365234,-0.33758208,0.13566463,1.1415329
0.08675108,0.2979909,-0.020791095,-0.39351448,-0.66645396,0.076226614,0.336339,3.2716024
-0.7069621,0.5483216,0.050779037,-1.1759024,-0.17387782,0.9291601,1.4952376,1.0091842
