set,set_type,length,time_setting,scene_setting
CC1,train,799,D,R
CC1_1,train,799,M,R
CC2,train,999,N,R
CC2_1,train,799,D,R
CC3,train,519,D,U
CC3_1,train,599,N,U
HWY1,train,1079,D,M
HWY1_1,train,1399,N,M
HWY1_2,train,1079,M,M
HWY2,train,599,M,R
HWY2_1,train,719,D,R
HWY2_2,train,719,D,R
INT1,train,599,M,R
INT1_1,train,519,N,R
INT1_2,train,519,D,R
INT1_3,train,519,D,R
INT2,train,599,D,U
INT2_1,train,599,M,U
INT2_2,train,599,D,U
INT2_3,train,599,D,U
INT3,train,599,D,R
INT3_1,train,599,N,R
INT3_2,train,599,M,R
INT3_3,train,599,D,R
FF1,test,3599,D,R
FF1_1,test,3599,M,R
FF2,test,879,D,U
FF2_1,test,999,D,U
HWY1,test,399,D,R
HWY1_1,test,359,N,R
HWY2,test,319,N,M
HWY2_1,test,319,D,M
INT1,test,639,M,M
INT1_1,test,639,N,M
INT2,test,439,D,R
INT2_1,test,399,M,R
INT3,test,359,M,U
INT3_1,test,439,D,U
