,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,36.13572692871094,2025-01-06 21:54:50.881152,2025-01-06 22:03:23.340445,0 days 00:08:32.459293,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,6.342623233795166,2025-01-06 22:03:23.342444,2025-01-06 22:11:10.080684,0 days 00:07:46.738240,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,12.536155700683594,2025-01-06 22:11:10.081693,2025-01-06 22:19:01.269204,0 days 00:07:51.187511,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,3.0960495471954346,2025-01-06 22:19:01.270204,2025-01-06 22:26:55.967806,0 days 00:07:54.697602,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,2.8995540142059326,2025-01-06 22:26:55.968805,2025-01-06 22:34:50.229257,0 days 00:07:54.260452,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,19.09035301208496,2025-01-06 22:34:50.231257,2025-01-06 22:42:45.015876,0 days 00:07:54.784619,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,19.684371948242188,2025-01-06 22:42:45.017875,2025-01-06 22:50:39.479225,0 days 00:07:54.461350,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,23.474199295043945,2025-01-06 22:50:39.481223,2025-01-06 22:58:28.211978,0 days 00:07:48.730755,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,6.705423355102539,2025-01-06 22:58:28.213977,2025-01-06 23:06:27.600926,0 days 00:07:59.386949,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,2.829834461212158,2025-01-06 23:06:27.602929,2025-01-06 23:14:20.337773,0 days 00:07:52.734844,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
