,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,12.815587997436523,2025-01-06 12:07:56.368323,2025-01-06 12:13:58.067770,0 days 00:06:01.699447,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,3.11340069770813,2025-01-06 12:13:58.068770,2025-01-06 12:19:42.025728,0 days 00:05:43.956958,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,2.8178791999816895,2025-01-06 12:19:42.027727,2025-01-06 12:25:41.261709,0 days 00:05:59.233982,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,4.19406795501709,2025-01-06 12:25:41.263709,2025-01-06 12:31:36.099717,0 days 00:05:54.836008,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,4.523653030395508,2025-01-06 12:31:36.101717,2025-01-06 12:37:32.149515,0 days 00:05:56.047798,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,22.377338409423828,2025-01-06 12:37:32.151513,2025-01-06 12:43:28.483509,0 days 00:05:56.331996,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,22.847726821899414,2025-01-06 12:43:28.484509,2025-01-06 12:49:25.962076,0 days 00:05:57.477567,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,41.051448822021484,2025-01-06 12:49:25.963076,2025-01-06 12:55:13.457956,0 days 00:05:47.494880,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,5.955348968505859,2025-01-06 12:55:13.458956,2025-01-06 13:01:02.508897,0 days 00:05:49.049941,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,4.820464611053467,2025-01-06 13:01:02.509897,2025-01-06 13:06:53.769555,0 days 00:05:51.259658,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
