,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,26.99894905090332,2025-01-05 19:40:06.478961,2025-01-05 19:46:59.967366,0 days 00:06:53.488405,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,62.37506103515625,2025-01-05 19:46:59.969366,2025-01-05 19:54:34.804872,0 days 00:07:34.835506,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,2.1706135272979736,2025-01-05 19:54:34.806872,2025-01-05 20:02:30.677024,0 days 00:07:55.870152,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,4.520823955535889,2025-01-05 20:02:30.679024,2025-01-05 20:10:25.871444,0 days 00:07:55.192420,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,5.741118907928467,2025-01-05 20:10:25.873444,2025-01-05 20:18:15.918400,0 days 00:07:50.044956,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,22.743730545043945,2025-01-05 20:18:15.920397,2025-01-05 20:26:02.311216,0 days 00:07:46.390819,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,22.130233764648438,2025-01-05 20:26:02.312215,2025-01-05 20:33:49.122419,0 days 00:07:46.810204,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,23.05706214904785,2025-01-05 20:33:49.124421,2025-01-05 20:41:31.440985,0 days 00:07:42.316564,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,8.301474571228027,2025-01-05 20:41:31.442981,2025-01-05 20:49:11.235017,0 days 00:07:39.792036,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,3.9016356468200684,2025-01-05 20:49:11.237014,2025-01-05 20:56:51.129409,0 days 00:07:39.892395,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
10,10,24.018341064453125,2025-01-05 20:56:51.130471,2025-01-05 21:04:27.308165,0 days 00:07:36.177694,10.0,1e-07,10,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
11,11,23.788225173950195,2025-01-05 21:04:27.309165,2025-01-05 21:12:05.361397,0 days 00:07:38.052232,100.0,0.01,11,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
12,12,4.507803440093994,2025-01-05 21:12:05.363397,2025-01-05 21:19:42.271408,0 days 00:07:36.908011,1.0,0.001,12,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
13,13,4.5424065589904785,2025-01-05 21:19:42.272408,2025-01-05 21:27:22.483271,0 days 00:07:40.210863,1.0,1e-05,13,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
14,14,24.272598266601562,2025-01-05 21:27:22.484274,2025-01-05 21:35:00.507288,0 days 00:07:38.023014,1.0,0.01,14,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
15,15,23.650985717773438,2025-01-05 21:35:00.509288,2025-01-05 21:42:40.000723,0 days 00:07:39.491435,1000.0,1e-07,15,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
16,16,3.7656943798065186,2025-01-05 21:42:40.001722,2025-01-05 21:50:17.785034,0 days 00:07:37.783312,10.0,0.0001,16,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
17,17,21.12142562866211,2025-01-05 21:50:17.786032,2025-01-05 21:57:59.326798,0 days 00:07:41.540766,10.0,1e-06,17,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
18,18,20.69534683227539,2025-01-05 21:57:59.328801,2025-01-05 22:05:40.298390,0 days 00:07:40.969589,1000.0,1e-06,18,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
19,19,3.308058261871338,2025-01-05 22:05:40.300392,2025-01-05 22:13:18.895832,0 days 00:07:38.595440,1.0,0.0001,19,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
20,20,24.340301513671875,2025-01-05 22:13:18.896832,2025-01-05 22:20:58.599909,0 days 00:07:39.703077,1.0,1e-07,20,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
21,21,2.7898712158203125,2025-01-05 22:20:58.600901,2025-01-05 22:28:39.995765,0 days 00:07:41.394864,1000.0,0.0001,21,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
22,22,3.6137192249298096,2025-01-05 22:28:39.996792,2025-01-05 22:36:20.740102,0 days 00:07:40.743310,100.0,0.0001,22,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
23,23,23.906991958618164,2025-01-05 22:36:20.742102,2025-01-05 22:44:04.794892,0 days 00:07:44.052790,100.0,1e-07,23,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
