,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,14.624286651611328,2025-01-06 01:15:39.001246,2025-01-06 01:22:18.263805,0 days 00:06:39.262559,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,2.3003461360931396,2025-01-06 01:22:18.264799,2025-01-06 01:29:37.966129,0 days 00:07:19.701330,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,4.83323335647583,2025-01-06 01:29:37.968126,2025-01-06 01:36:56.891122,0 days 00:07:18.922996,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,3.7711541652679443,2025-01-06 01:36:56.892118,2025-01-06 01:44:19.297992,0 days 00:07:22.405874,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,3.600358247756958,2025-01-06 01:44:19.298987,2025-01-06 01:51:41.334721,0 days 00:07:22.035734,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,18.31672477722168,2025-01-06 01:51:41.335712,2025-01-06 01:59:03.107422,0 days 00:07:21.771710,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,18.959136962890625,2025-01-06 01:59:03.108425,2025-01-06 02:06:24.794937,0 days 00:07:21.686512,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,44.806182861328125,2025-01-06 02:06:24.795931,2025-01-06 02:13:42.079804,0 days 00:07:17.283873,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,4.384404182434082,2025-01-06 02:13:42.080793,2025-01-06 02:20:57.050834,0 days 00:07:14.970041,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,3.4589576721191406,2025-01-06 02:20:57.052833,2025-01-06 02:28:10.877102,0 days 00:07:13.824269,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
10,10,24.134437561035156,2025-01-06 02:28:10.878102,2025-01-06 02:35:24.364095,0 days 00:07:13.485993,10.0,1e-07,10,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
11,11,17.111135482788086,2025-01-06 02:35:24.365095,2025-01-06 02:42:39.638947,0 days 00:07:15.273852,100.0,0.01,11,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
12,12,4.112429141998291,2025-01-06 02:42:39.639893,2025-01-06 02:49:53.999722,0 days 00:07:14.359829,1.0,0.001,12,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
13,13,4.14398193359375,2025-01-06 02:49:54.000722,2025-01-06 02:57:08.927352,0 days 00:07:14.926630,1.0,1e-05,13,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
14,14,15.413557052612305,2025-01-06 02:57:08.928349,2025-01-06 03:04:23.920767,0 days 00:07:14.992418,1.0,0.01,14,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
15,15,22.98602867126465,2025-01-06 03:04:23.922767,2025-01-06 03:11:39.291437,0 days 00:07:15.368670,1000.0,1e-07,15,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
16,16,2.0216448307037354,2025-01-06 03:11:39.292437,2025-01-06 03:18:52.682467,0 days 00:07:13.390030,10.0,0.0001,16,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
17,17,18.373350143432617,2025-01-06 03:18:52.684465,2025-01-06 03:26:06.791968,0 days 00:07:14.107503,10.0,1e-06,17,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
18,18,20.148401260375977,2025-01-06 03:26:06.793960,2025-01-06 03:33:21.428395,0 days 00:07:14.634435,1000.0,1e-06,18,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
19,19,2.605501651763916,2025-01-06 03:33:21.429395,2025-01-06 03:40:36.615865,0 days 00:07:15.186470,1.0,0.0001,19,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
20,20,24.740489959716797,2025-01-06 03:40:36.616864,2025-01-06 03:47:51.957951,0 days 00:07:15.341087,1.0,1e-07,20,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
21,21,1.9703227281570435,2025-01-06 03:47:51.958948,2025-01-06 03:55:06.918822,0 days 00:07:14.959874,1000.0,0.0001,21,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
22,22,2.6231346130371094,2025-01-06 03:55:06.919818,2025-01-06 04:02:21.389181,0 days 00:07:14.469363,100.0,0.0001,22,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
23,23,23.704421997070312,2025-01-06 04:02:21.391179,2025-01-06 04:09:36.426418,0 days 00:07:15.035239,100.0,1e-07,23,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
