,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,26.047130584716797,2025-01-05 01:36:35.805656,2025-01-05 01:42:15.193058,0 days 00:05:39.387402,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,51.12320327758789,2025-01-05 01:42:15.194053,2025-01-05 01:47:51.169889,0 days 00:05:35.975836,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,11.399406433105469,2025-01-05 01:47:51.171883,2025-01-05 01:53:22.553248,0 days 00:05:31.381365,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,2.6789307594299316,2025-01-05 01:53:22.554248,2025-01-05 01:58:52.976492,0 days 00:05:30.422244,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,3.1961605548858643,2025-01-05 01:58:52.977492,2025-01-05 02:04:26.868570,0 days 00:05:33.891078,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,16.59590721130371,2025-01-05 02:04:26.869570,2025-01-05 02:10:02.389726,0 days 00:05:35.520156,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,15.451656341552734,2025-01-05 02:10:02.390941,2025-01-05 02:15:36.765975,0 days 00:05:34.375034,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,25.230722427368164,2025-01-05 02:15:36.767966,2025-01-05 02:21:09.839343,0 days 00:05:33.071377,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,3.5564117431640625,2025-01-05 02:21:09.841343,2025-01-05 02:30:23.535024,0 days 00:09:13.693681,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,2.795250654220581,2025-01-05 02:30:23.535024,2025-01-05 02:44:40.317313,0 days 00:14:16.782289,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
10,10,22.760234832763672,2025-01-05 02:44:40.317313,2025-01-05 02:54:38.938584,0 days 00:09:58.621271,10.0,1e-07,10,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
