,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,21.16622543334961,2025-01-18 15:13:27.821114,2025-01-18 15:19:47.756497,0 days 00:06:19.935383,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,14.738288879394531,2025-01-18 15:19:47.758497,2025-01-18 15:26:41.891589,0 days 00:06:54.133092,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,37.203346252441406,2025-01-18 15:26:41.893589,2025-01-18 15:33:48.579086,0 days 00:07:06.685497,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,5.887383937835693,2025-01-18 15:33:48.581080,2025-01-18 15:41:02.336083,0 days 00:07:13.755003,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,6.791029453277588,2025-01-18 15:41:02.338078,2025-01-18 15:48:03.295821,0 days 00:07:00.957743,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,17.663143157958984,2025-01-18 15:48:03.296815,2025-01-18 15:55:23.439796,0 days 00:07:20.142981,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,15.899134635925293,2025-01-18 15:55:23.441796,2025-01-18 16:02:25.050572,0 days 00:07:01.608776,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,24.97647476196289,2025-01-18 16:02:25.052572,2025-01-18 16:09:22.955717,0 days 00:06:57.903145,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,19.145124435424805,2025-01-18 16:09:22.957718,2025-01-18 16:16:47.342725,0 days 00:07:24.385007,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,6.704183101654053,2025-01-18 16:16:47.344725,2025-01-18 16:24:12.105977,0 days 00:07:24.761252,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
10,10,24.92470359802246,2025-01-18 16:24:12.107977,2025-01-18 16:31:26.668877,0 days 00:07:14.560900,10.0,1e-07,10,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
11,11,19.45488929748535,2025-01-18 16:31:26.670877,2025-01-18 16:38:17.829572,0 days 00:06:51.158695,100.0,0.01,11,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
12,12,61.81049728393555,2025-01-18 16:38:17.831572,2025-01-18 16:45:14.723269,0 days 00:06:56.891697,1.0,0.001,12,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
13,13,10.289496421813965,2025-01-18 16:45:14.724269,2025-01-18 16:52:01.517235,0 days 00:06:46.792966,1.0,1e-05,13,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
14,14,24.46940040588379,2025-01-18 16:52:01.518248,2025-01-18 16:58:49.482957,0 days 00:06:47.964709,1.0,0.01,14,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
