,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,24.800691604614258,2025-02-27 09:44:05.340937,2025-02-27 09:50:27.554944,0 days 00:06:22.214007,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,24.629426956176758,2025-02-27 09:50:27.556943,2025-02-27 09:57:07.992553,0 days 00:06:40.435610,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,21.32353973388672,2025-02-27 09:57:07.994549,2025-02-27 10:03:46.889679,0 days 00:06:38.895130,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,2.876207113265991,2025-02-27 10:03:46.891678,2025-02-27 10:10:27.591029,0 days 00:06:40.699351,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,3.359191417694092,2025-02-27 10:10:27.592029,2025-02-27 10:17:11.498891,0 days 00:06:43.906862,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,6.826076984405518,2025-02-27 10:17:11.500901,2025-02-27 10:23:58.523701,0 days 00:06:47.022800,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,6.689545154571533,2025-02-27 10:23:58.524700,2025-02-27 10:30:56.692337,0 days 00:06:58.167637,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,23.616464614868164,2025-02-27 10:30:56.694337,2025-02-27 10:37:32.023199,0 days 00:06:35.328862,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,23.134803771972656,2025-02-27 10:37:32.025200,2025-02-27 10:44:24.800382,0 days 00:06:52.775182,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,3.7884304523468018,2025-02-27 10:44:24.802382,2025-02-27 10:50:52.552173,0 days 00:06:27.749791,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
