,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,resnet18,resnet34,mobilenetv2,inceptionv3,googlenet,densenet121
0,0,0,0,0,0,-0.1066963,-0.9002654,-0.29364285,3.6512601,4.01269,-0.05716313
1,1,1,1,1,1,-0.08208927,-0.9277955,-0.28739476,3.6359332,4.2499537,-0.13623281
2,2,2,2,2,2,-0.109799765,-0.99235386,-0.33762392,3.5884142,4.6334887,-0.24131377
3,3,3,3,3,3,-0.066960394,-1.0974523,-0.34530094,3.622783,5.266289,-0.3191867
4,4,4,4,4,4,-0.057389807,-1.0698172,-0.37118548,3.6734262,5.2928877,-0.4969464
5,5,5,5,5,5,-0.02402775,-1.0526803,-0.31951454,3.727507,5.5861454,-0.4934504
6,6,6,6,6,6,-0.025095608,-0.9721145,-0.3067772,3.8215811,5.356719,-0.29719645
7,7,7,7,7,7,-0.01493805,-0.93666774,-0.32700425,3.8731866,5.321508,-0.30201003
8,8,8,8,8,8,-0.014064426,-0.9363286,-0.34092537,3.8297079,5.1033893,-0.24511585
9,9,9,9,9,9,-0.008579144,-0.8658912,-0.26002786,3.7949357,5.0322657,-0.18754546
10,10,10,10,10,10,-0.0007009481,-0.81707156,-0.30131274,3.8290927,5.2063174,-0.111526094
11,11,11,11,11,11,0.0184874,-0.7657032,-0.23649846,3.895226,5.313809,-0.09923923
12,12,12,12,12,12,0.056026973,-0.6660819,-0.26335245,3.9338682,5.4143147,0.0576374
13,13,13,13,13,13,0.111239016,-0.6369757,-0.17433539,3.8199546,5.6463614,0.03389524
14,14,14,14,14,14,0.15899292,-0.56636995,-0.11585403,3.7958212,5.504672,0.2305716
15,15,15,15,15,15,0.16557424,-0.6014167,-0.050162934,3.7082093,5.5441465,0.1572429
16,16,16,16,16,16,0.17291819,-0.63834774,-0.037094757,3.6112916,5.702178,0.16974854
17,17,17,17,17,17,0.17806558,-0.6151569,0.06440516,3.6267197,5.847333,0.23596488
18,18,18,18,18,18,0.19027284,-0.5942926,0.07388594,3.665398,5.860751,0.1950608
19,19,19,19,19,19,0.19761764,-0.6228061,0.10619252,3.6906388,5.9018917,0.26955128
20,20,20,20,20,20,0.20369673,-0.52572435,0.1462756,3.5719774,6.163785,0.33447477
21,21,21,21,21,21,0.20557801,-0.5373406,0.22852238,3.3971596,6.2328663,0.38543758
22,22,22,22,22,22,0.22307567,-0.4299384,0.1893745,3.387676,6.237067,0.46351242
23,23,23,23,23,23,0.23184948,-0.39213842,0.23403706,3.4050992,6.3633723,0.47795334
24,24,24,24,24,24,0.22804314,-0.37638694,0.17512049,3.2862923,6.397329,0.4794914
25,25,25,25,25,25,0.23322874,-0.36200982,0.19594729,3.2871048,6.4287734,0.5013137
26,26,26,26,26,26,0.22400223,-0.34115726,0.20713268,3.46445,6.4504576,0.50747514
27,27,27,27,27,27,0.24364372,-0.32643265,0.2971597,3.5760303,6.507769,0.49915957
28,28,28,28,28,28,0.24456067,-0.31302926,0.2527815,3.5786765,6.5822644,0.52881455
29,29,29,29,29,29,0.23646028,-0.33922687,0.29169884,3.5776544,6.696198,0.52321553
30,30,30,30,30,30,0.2392026,-0.32001525,0.2984057,3.5218055,6.672658,0.5475698
31,31,31,31,31,31,0.25381196,-0.32615346,0.32891127,3.5186896,6.735754,0.526602
32,32,32,32,32,32,0.25010422,-0.3224052,0.37458894,3.530897,6.7995667,0.5409924
33,33,33,33,33,33,0.26448306,-0.3054388,0.38362443,3.3774505,6.795841,0.54688555
34,34,34,34,34,34,0.2935568,-0.280518,0.35884055,3.355611,6.7797093,0.5580179
35,35,35,35,35,35,0.3364282,-0.2840601,0.43695208,3.464788,6.861732,0.5693515
36,36,36,36,36,36,0.37367514,-0.25887653,0.49270427,3.5039463,6.8408885,0.59184635
37,37,37,37,37,37,0.39569184,-0.28280056,0.5467189,3.526615,6.9359007,0.59158504
38,38,38,38,38,38,0.43029997,-0.22952466,0.5756072,3.5529191,7.011178,0.63574415
39,39,39,39,39,39,0.44194287,-0.24278077,0.60713917,3.6232107,7.042903,0.6226562
40,40,40,40,40,40,0.44684055,-0.27212453,0.64594746,3.6831064,7.151628,0.6246688
41,41,41,41,41,41,0.47589895,-0.27974382,0.70615107,3.644256,7.2299333,0.64858407
42,42,42,42,42,42,0.5160406,-0.2786766,0.7200471,3.5691874,7.2664204,0.66361344
43,43,43,43,43,43,0.50745696,-0.29342428,0.7670975,3.6080651,7.287512,0.68248504
44,44,44,44,44,44,0.50489825,-0.26763326,0.7880283,3.6605244,7.267652,0.7154928
45,45,45,45,45,45,0.5051783,-0.27917564,0.7890068,3.7875607,7.365536,0.7279752
46,46,46,46,46,46,0.50145966,-0.22413585,0.7920661,3.8315516,7.325064,0.755577
47,47,47,47,47,47,0.5130906,-0.20483737,0.7404515,3.779327,7.3697147,0.76781225
48,48,48,48,48,48,0.5052805,-0.17785321,0.6708296,3.7636416,7.3424683,0.7793049
49,49,49,49,49,49,0.5252381,-0.15691398,0.6509643,3.6869035,7.3545356,0.7990945
50,50,50,50,50,50,0.51342505,-0.11312244,0.6223968,3.583097,7.392048,0.8261826
51,51,51,51,51,51,0.49835747,-0.109337024,0.60920954,3.5092661,7.4639106,0.86943716
52,52,52,52,52,52,0.5316228,-0.07224782,0.7099587,3.5438964,7.470938,0.91506684
53,53,53,53,53,53,0.54652566,-0.06165825,0.7090046,3.5761192,7.5596027,0.9325233
54,54,54,54,54,54,0.57523894,0.003487025,0.75159746,3.5872974,7.522418,1.0104935
55,55,55,55,55,55,0.56998867,-0.021301866,0.8656458,3.6303012,7.5481315,1.0156645
56,56,56,56,56,56,0.583061,-0.042877577,0.87981707,3.5456007,7.5457425,1.0341315
57,57,57,57,57,57,0.6526634,-0.004392025,1.0004511,3.576156,7.628198,1.0817412
58,58,58,58,58,58,0.65592414,0.022894045,1.05858,3.5699532,7.589729,1.1203223
59,59,59,59,59,59,0.6715527,0.035266187,1.1100159,3.7051094,7.6129713,1.1921782
60,60,60,60,60,60,0.6985787,0.11366352,1.1269976,3.631743,7.695118,1.2423644
61,61,61,61,61,61,0.6957286,0.08534705,1.0745806,3.5786352,7.8283596,1.2420917
62,62,62,62,62,62,0.73361415,0.20283547,1.0802675,3.4705243,7.78079,1.2923443
63,63,63,63,63,63,0.7743451,0.20499659,1.1304244,3.480058,7.782824,1.294562
64,64,64,64,64,64,0.80482334,0.21777374,1.1705475,3.4835982,7.896481,1.3117672
65,65,65,65,65,65,0.858086,0.28684145,1.2149888,3.4726877,7.887152,1.309967
66,66,66,66,66,66,0.8856727,0.33647335,1.2734978,3.4862711,7.970175,1.3468578
67,67,67,67,67,67,0.91442037,0.3934209,1.3584659,3.56587,8.113594,1.3752841
68,68,68,68,68,68,0.9829666,0.5073665,1.438985,3.582201,8.210131,1.480922
69,69,69,69,69,69,1.0170021,0.48677433,1.4849697,3.681514,8.344611,1.5000597
70,70,70,70,70,70,1.0670704,0.5853948,1.5435685,3.5851226,8.322933,1.5895169
71,71,71,71,71,71,1.1042565,0.62887704,1.5383991,3.5140994,8.393332,1.6324147
