,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,resnet18,resnet34,mobilenetv2,inceptionv3,googlenet,densenet121
0,0,0,0,0,0,0.073266156,0.4024234,0.17466821,1.825521,4.6328583,0.16479197
1,1,1,1,1,1,0.13752542,0.32991263,0.33797833,1.9480106,5.0474405,0.1373218
2,2,2,2,2,2,0.07213234,0.52530694,0.35380223,1.8291521,5.219965,0.17765151
3,3,3,3,3,3,0.08770581,0.4466714,0.35755712,1.5325809,5.1259904,0.20954464
4,4,4,4,4,4,0.12627375,0.47793627,0.5258743,2.2277138,5.552273,0.25669536
5,5,5,5,5,5,0.077161066,0.55583394,0.4512192,2.294003,5.712072,0.25225487
6,6,6,6,6,6,0.15723436,0.6362388,0.7972633,1.6855224,5.34295,0.22908239
7,7,7,7,7,7,0.25694445,0.47036374,0.60159624,1.7856009,5.4046383,0.25356436
8,8,8,8,8,8,0.3477802,0.62248695,0.4548995,1.7205361,4.9290543,0.26960656
9,9,9,9,9,9,0.4531924,0.74208754,0.4218549,2.1217272,5.431123,0.3093832
10,10,10,10,10,10,0.3846124,0.49038556,0.33452788,1.6321564,5.4511003,0.31312168
11,11,11,11,11,11,0.36588916,0.44622892,0.54578185,1.4668761,5.7859817,0.33846146
12,12,12,12,12,12,0.42051443,0.7529109,0.7502898,1.815754,5.7544737,0.38657224
13,13,13,13,13,13,0.47282898,0.6830916,0.70966977,1.5914859,5.7879825,0.37770858
14,14,14,14,14,14,0.5738742,0.7668347,0.4668697,1.237205,5.7002296,0.4340854
15,15,15,15,15,15,0.5508306,0.66544974,0.5450219,1.7128822,5.608547,0.40706325
16,16,16,16,16,16,0.5218151,0.66779804,0.69226605,1.4341296,5.6248994,0.42376626
17,17,17,17,17,17,0.63362277,0.7229813,0.48264915,1.4350576,5.607686,0.51798445
18,18,18,18,18,18,0.65952194,0.60056174,0.5860236,1.7472558,5.611522,0.49251297
19,19,19,19,19,19,0.7371793,0.7790877,0.21382424,1.8910223,5.574941,0.43006498
20,20,20,20,20,20,0.5533994,0.5437656,0.51734984,1.7096012,7.300998,0.33485642
21,21,21,21,21,21,0.5045136,0.60076123,0.42350334,1.661355,5.3672976,0.42741358
22,22,22,22,22,22,0.4980766,0.548709,0.42839408,1.8299073,5.423993,0.4510898
23,23,23,23,23,23,0.36717302,0.42801836,0.47933075,1.60361,5.23825,0.35285437
24,24,24,24,24,24,0.37302157,0.39848644,0.49385834,1.5687618,5.362874,0.3115311
25,25,25,25,25,25,0.30210823,0.37950996,0.20317534,1.4789882,5.091542,0.2656822
26,26,26,26,26,26,0.31355795,0.34813046,0.37571272,1.5844839,5.227901,0.24921097
27,27,27,27,27,27,0.15430805,0.23501815,0.5915517,1.2673253,5.424494,0.24050674
28,28,28,28,28,28,0.24973325,0.22273779,0.28646767,1.1259856,4.8326616,0.21776734
29,29,29,29,29,29,0.21281119,0.2458296,0.2382982,1.5521533,5.09005,0.19095372
30,30,30,30,30,30,0.07044486,0.17834124,0.12862536,1.1526362,5.1580105,0.18940327
31,31,31,31,31,31,0.057423957,0.096187204,0.11512043,1.3230711,5.061308,0.18088709
32,32,32,32,32,32,0.049788233,0.056176595,0.14920723,1.1214393,5.5093694,0.19539995
33,33,33,33,33,33,-0.049553446,0.0627451,-0.120624095,1.1597277,4.89426,0.07212829
34,34,34,34,34,34,-0.048390392,0.010787216,0.15863855,0.9627407,4.6278925,0.034071118
35,35,35,35,35,35,-0.12895568,-0.111341685,-0.1187272,1.2731608,4.77564,0.059071314
36,36,36,36,36,36,-0.20906065,-0.13167728,-0.15908903,1.4724914,5.2280188,-0.013997192
37,37,37,37,37,37,-0.2571325,-0.16822007,0.073532104,1.7190381,5.072019,-0.126681
38,38,38,38,38,38,-0.3839261,-0.23563746,-0.169239,1.4039235,4.8215423,-0.29646948
39,39,39,39,39,39,-0.26328447,-0.29970035,-0.61057013,1.6369134,4.7719116,-0.3042136
40,40,40,40,40,40,-0.3665012,-0.32837585,-0.19155115,1.5948721,5.065308,-0.33417958
41,41,41,41,41,41,-0.52626264,-0.28630656,-0.41456386,1.6576923,4.7601557,-0.5300566
42,42,42,42,42,42,-0.6183359,-0.42410222,-0.2605508,1.5459803,4.716447,-0.59661955
43,43,43,43,43,43,-0.62662053,-0.46579027,-0.42141303,1.1587833,5.101998,-0.6763827
44,44,44,44,44,44,-0.6808681,-0.5416993,-0.29939806,1.1888456,5.3830776,-0.77960247
45,45,45,45,45,45,-0.91779613,-0.5767153,-0.4238958,1.5759944,5.887621,-0.89415365
46,46,46,46,46,46,-0.92165786,-0.8011231,-0.5641419,1.5200876,6.001755,-0.9284139
47,47,47,47,47,47,-0.9805293,-0.8127656,-0.89177704,1.5091764,5.5682535,-1.0176015
48,48,48,48,48,48,-1.0491908,-0.90049124,-0.8262924,1.4854388,5.706599,-1.2999431
49,49,49,49,49,49,-1.159959,-1.0413101,-1.3250781,1.1810566,4.7500753,-1.396863
50,50,50,50,50,50,-1.2400973,-1.0722586,-1.0589954,1.1643645,5.443196,-1.4462523
51,51,51,51,51,51,-1.3602986,-1.0829885,-1.4653893,0.88647825,6.264756,-1.6168685
52,52,52,52,52,52,-1.3657,-1.270626,-1.494951,0.8020588,5.2586126,-1.7404119
53,53,53,53,53,53,-1.5537798,-1.4286411,-1.5087739,1.2681774,4.6497974,-1.8252037
54,54,54,54,54,54,-1.5946624,-1.5237199,-1.7159182,0.9861615,5.931655,-1.979085
55,55,55,55,55,55,-1.6886411,-1.5913295,-2.008278,1.0610831,2.9573755,-2.0466418
56,56,56,56,56,56,-1.7014141,-1.7092334,-1.8273798,0.60295796,2.8351905,-2.093703
57,57,57,57,57,57,-1.7751139,-1.8607539,-1.9892031,0.5332926,1.9283733,-2.190831
58,58,58,58,58,58,-1.9112333,-1.8811023,-1.9130754,1.0539237,1.9429343,-2.2795253
59,59,59,59,59,59,-1.9140882,-1.8483609,-2.0947156,1.3384429,1.9053614,-2.3574383
60,60,60,60,60,60,-2.0033576,-1.9134223,-2.370049,0.75933087,-0.59345657,-2.4586942
61,61,61,61,61,61,-2.1269047,-1.9492979,-2.287004,0.7280234,-0.28425074,-2.6002874
62,62,62,62,62,62,-2.2237098,-2.2209635,-2.5886962,0.8997634,2.4495125,-2.767422
63,63,63,63,63,63,-2.3342671,-2.1241233,-2.47551,0.5078856,1.6265886,-2.8972316
64,64,64,64,64,64,-2.3795109,-2.2789078,-2.7511585,1.0745816,0.32379678,-3.101585
65,65,65,65,65,65,-2.666243,-2.4698408,-2.7791722,0.69959617,0.7281108,-3.303201
66,66,66,66,66,66,-2.6059225,-2.4614677,-2.9608307,0.4606881,5.641036,-3.4363363
67,67,67,67,67,67,-2.6804533,-2.699636,-2.7593048,0.7387976,4.3208103,-3.5376608
68,68,68,68,68,68,-2.8861535,-2.7178273,-2.8341475,0.615619,-0.44041404,-3.526027
69,69,69,69,69,69,-2.995003,-2.7698314,-2.9053116,-0.5709602,-3.206087,-3.6862047
70,70,70,70,70,70,-3.0035067,-3.0664537,-3.0760984,0.5224433,3.2818987,-3.6968217
71,71,71,71,71,71,-3.057202,-3.1618416,-3.260583,0.5682525,0.89292836,-3.7832227
72,72,72,72,72,72,-3.1818,-3.254862,-3.2165558,0.11611748,-3.2747161,-3.7861145
73,73,73,73,73,73,-3.1976929,-3.170981,-3.2261925,0.2826631,-1.62625,-3.9327211
74,74,74,74,74,74,-3.2741752,-3.3839414,-3.3499498,0.79809135,-1.4842442,-3.9780996
75,75,75,75,75,75,-3.363296,-3.6040673,-3.3690376,0.2462458,5.5658374,-4.10336
76,76,76,76,76,76,-3.3464007,-3.53603,-3.3875499,0.27843648,-3.6258848,-4.0274377
77,77,77,77,77,77,-3.4138913,-3.460718,-3.6647143,0.62433815,1.0291175,-3.9863966
78,78,78,78,78,78,-3.4575384,-3.636119,-3.582348,0.3120312,-3.6343346,-4.110355
79,79,79,79,79,79,-3.497887,-3.689628,-3.6410067,0.29506075,-3.3780837,-4.2430854
80,80,80,80,80,80,-3.5361018,-3.6903164,-3.669303,0.6100524,-2.847737,-4.415735
81,81,81,81,81,81,-3.5718262,-3.7430165,-3.8119314,0.38268864,-1.6386545,-4.6017604
82,82,82,82,82,82,-3.6282125,-3.8068407,-3.7685187,0.1417977,-3.8647676,-4.648898
83,83,83,83,83,83,-3.5944223,-3.9951324,-3.921838,0.014733144,-4.0374966,-4.8825407
84,84,84,84,84,84,-3.8007948,-4.0937786,-3.8788974,0.15106884,-2.828671,-4.839861
85,85,85,85,85,85,-3.9781232,-4.2266574,-3.8904333,-0.016873127,-3.438974,-4.923008
86,86,86,86,86,86,-4.1513715,-4.235303,-4.0978584,-0.0341407,-2.7095697,-4.860793
87,87,87,87,87,87,-4.0931334,-4.2747955,-4.4223866,0.45839658,-2.3015857,-4.987548
88,88,88,88,88,88,-4.189763,-4.3638105,-4.278811,0.13043228,-3.2728078,-5.064651
89,89,89,89,89,89,-4.4103785,-4.425822,-4.0439253,0.4573106,-2.706651,-5.056684
90,90,90,90,90,90,-4.26713,-4.446087,-4.147338,0.4923943,-1.9875209,-5.1886477
91,91,91,91,91,91,-4.2805476,-4.5766053,-4.1165757,0.1285036,-3.0632873,-5.203719
92,92,92,92,92,92,-4.3437696,-4.5854435,-4.3319654,0.46385777,-2.4982555,-5.2118983
93,93,93,93,93,93,-4.546311,-4.598472,-4.1820536,0.36805966,1.5045928,-5.2746906
94,94,94,94,94,94,-4.4411707,-4.820706,-4.633739,0.3169169,-3.119678,-5.497454
95,95,95,95,95,95,-4.5446515,-4.6799006,-4.6226845,0.6074804,-2.0136652,-5.3673153
96,96,96,96,96,96,-4.6741986,-4.6704106,-4.396947,0.68888175,-0.104405895,-5.3335185
97,97,97,97,97,97,-4.685342,-4.68622,-4.5672374,0.53297204,-2.6208084,-5.523239
98,98,98,98,98,98,-4.7373824,-4.793123,-4.7069497,0.65757984,-3.5877314,-5.5993595
99,99,99,99,99,99,-4.767128,-4.8957615,-5.013491,0.16463828,-3.8169234,-5.7301803
100,100,100,100,100,100,-4.788496,-4.7299666,-4.7023664,0.34041917,-4.068659,-5.8879366
101,101,101,101,101,101,-5.0136824,-4.7993293,-5.094432,0.24424541,-1.8983489,-5.7551684
102,102,102,102,102,102,-4.8561206,-4.840503,-4.6813655,0.22605962,-3.7980318,-5.9000206
103,103,103,103,103,103,-4.9088225,-4.8198724,-4.8606863,0.11588226,6.1378694,-5.859126
104,104,104,104,104,104,-4.955799,-4.953524,-5.5101767,0.22985464,0.19470403,-6.119594
105,105,105,105,105,105,-4.95081,-4.904932,-5.0969996,0.24905173,3.2563467,-5.7899942
106,106,106,106,106,106,-4.849452,-4.9447284,-5.4130692,0.15753531,1.3163443,-6.000235
107,107,107,107,107,107,-5.019042,-4.9425993,-5.0817313,0.23350024,5.861756,-5.839125
108,108,108,108,108,108,-5.013502,-4.720457,-4.8606014,0.26301906,0.3299052,-5.8258104
109,109,109,109,109,109,-5.0807147,-4.862918,-4.9892883,0.12105272,-0.6374122,-5.7534328
110,110,110,110,110,110,-5.041419,-4.7832584,-5.0392704,0.2664209,-4.6062894,-5.749763
111,111,111,111,111,111,-5.023903,-4.8207383,-4.8766637,0.030430198,-3.4409258,-5.689022
112,112,112,112,112,112,-5.0525966,-4.8221135,-4.926136,0.6347188,-3.8059711,-5.794756
113,113,113,113,113,113,-5.072954,-4.7631793,-4.8861384,0.7166985,-2.7046251,-5.964199
114,114,114,114,114,114,-5.1672463,-5.013147,-4.958112,0.83066154,-4.95588,-5.888315
115,115,115,115,115,115,-5.158068,-4.978374,-4.918349,0.1902596,-4.2605395,-5.8454337
116,116,116,116,116,116,-5.427209,-4.9066663,-5.104862,0.3782123,2.8772383,-5.746908
117,117,117,117,117,117,-5.101591,-4.910712,-5.012032,0.33933273,-3.2162492,-5.9059114
118,118,118,118,118,118,-5.2591004,-4.9191074,-4.635104,0.58929676,-4.3116636,-5.6597624
119,119,119,119,119,119,-5.093171,-4.7653556,-4.6329837,0.4824521,-4.9542694,-5.794367
120,120,120,120,120,120,-5.0618553,-4.7350736,-4.61643,0.5626684,-3.848274,-5.5106936
121,121,121,121,121,121,-4.835855,-4.74773,-5.1841087,0.4888934,0.3795317,-5.387831
122,122,122,122,122,122,-5.101041,-4.6511564,-4.8890624,0.5342672,-1.5600618,-5.479114
123,123,123,123,123,123,-5.2613173,-4.671637,-4.809832,0.6361689,1.3287818,-5.4507627
124,124,124,124,124,124,-4.9828734,-4.629182,-4.7031026,0.54759246,5.026113,-5.3598704
125,125,125,125,125,125,-5.389574,-4.5863366,-4.692984,0.40016368,-2.240963,-5.3731265
126,126,126,126,126,126,-5.1150193,-4.3698006,-4.53789,0.2845209,-1.9691468,-5.177409
127,127,127,127,127,127,-4.915608,-4.599626,-4.9201155,0.38613063,-2.867224,-5.3231025
128,128,128,128,128,128,-5.0918245,-4.3031654,-4.5378942,0.30035073,-2.663544,-5.094024
129,129,129,129,129,129,-4.774024,-4.3496056,-4.5308137,0.068728775,5.2019973,-5.054775
130,130,130,130,130,130,-4.9686627,-4.4275184,-5.0080667,0.18844491,1.1250529,-4.906444
131,131,131,131,131,131,-4.8477807,-4.1587067,-4.0894957,-0.038700275,-3.7875216,-4.792321
132,132,132,132,132,132,-4.912699,-4.2916737,-4.293179,0.14215928,-3.098955,-4.8795595
133,133,133,133,133,133,-4.7794704,-4.114702,-4.11603,0.25415176,-3.9314857,-4.7967353
134,134,134,134,134,134,-4.720885,-4.4090657,-4.600563,0.17889631,-2.7051163,-4.776489
135,135,135,135,135,135,-4.707999,-4.0328007,-4.091238,0.05650743,-3.0773997,-4.8700824
