day,mixed_setting,mixed_time,night,rural,urban
0.79242826,-0.16601703,-0.68477595,-2.160413,-0.59757835,0.9955547
2.1023235,1.1935037,-0.500897,-3.41892,0.81034213,1.826351
-1.9344358,0.81167233,0.38049147,0.46194446,1.0419167,-3.833347
-0.18155837,0.7532136,-0.53111374,0.29336002,0.369713,-0.8754031
-1.500029,-0.12900822,0.285005,-1.1415073,0.060945775,0.36274022
5.6614957,-1.0399816,0.08828019,-0.8754031,-2.7908816,0.010048969
3.5426345,-0.14019154,2.0293002,0.18762049,-0.56149787,-6.588904
-0.93903935,0.40612814,1.2170099,0.9016067,0.37113708,0.33531106
-0.04687437,-0.03401007,-1.0904806,-10.25823,0.4823804,0.10388632
1.2887388,-0.09830947,0.37653038,2.6825202,-0.21506898,-0.22649504
1.1115313,-1.0196669,0.76720095,0.026255673,-0.1635557,-0.1459099
1.2532303,-0.021002831,0.5509501,-0.3099796,-1.411129,0.12402342
-0.5857186,0.33501223,0.892009,1.5421046,-0.8880714,1.1932096
-0.5331253,0.48808187,0.25344867,0.07316242,-1.1097622,2.2950177
-1.3013968,-0.79695666,-0.88039637,-2.034481,-0.36826327,-0.32005838
-0.21551146,0.63593584,0.51264495,2.9980474,-0.7606158,-1.9588435
-0.5529994,0.034025438,0.26538485,-0.6979676,-0.78170484,1.4544818
0.4100265,-0.7833731,-0.92999935,1.2309707,-0.35421145,0.54221797
0.1669375,1.2228898,0.021943688,2.9294724,-0.17406395,-1.0215948
1.0760621,1.3745499,-0.8610546,1.1414236,0.55617374,-0.29412073
0.6792657,-0.050423868,0.48095116,1.3207724,-0.46360248,0.9707884
0.3217292,0.36198282,0.69747496,-0.032743923,-0.5362723,-0.21482907
0.5909992,-0.6396506,1.247394,-0.31247857,-0.53710556,-0.74804825
0.19348474,0.7996375,0.3159893,-0.050889175,0.16402356,1.3520111
-0.6028922,-1.6241771,-0.33855197,0.91071606,0.5982221,-0.15890007
0.8317966,-0.1951624,-1.8644264,-1.5737594,1.0777407,1.3922213
-0.3423265,-0.46710637,0.013030079,0.026843496,-1.4088767,1.9574262
-1.21771,-1.0536283,7.2405686,0.76175046,0.59718174,1.4757459
-0.84542197,-1.269213,-0.3149161,-0.095183805,0.57486284,0.32254028
0.08055674,1.1324761,0.38459086,-2.2969003,-0.81405777,-4.2850914
-0.800604,0.42766887,0.4372497,-0.9221805,0.08557671,-0.07380019
-0.6372028,1.095231,0.38858822,-0.1459099,-0.81860834,-0.097720794
-0.7216914,1.0844052,0.72767293,1.4395852,1.4423993,-3.1205869
-0.2657823,-0.6011676,0.03223849,-0.49646592,0.4253029,0.1704068
1.8575348,0.39249766,-0.25357077,-0.03133349,0.4695072,-13.632408
