day,mixed_setting,mixed_time,night,rural,urban
-15.964392,-1.017962,4.811885,-0.57156897,-1.7959136,-16.058485
-3.3998647,-4.0208244,-0.25263247,-0.7934767,0.3080791,-0.45102468
-0.21349292,0.1578764,0.111864835,-2.997109,4.242386,-2.484979
1.3161501,0.95370436,-2.1854794,-4.1862617,-2.4272664,0.296116
-1.939129,-6.3157396,0.49792376,-6.5700583,-0.8448363,-0.9785697
-1.4218985,-1.3491365,0.6291167,-0.9785697,-5.107523,-20.021597
-6.733439,-7.050923,-2.5210705,-1.8114992,-1.1528975,-5.8499627
-5.733426,2.195081,4.3441863,1.6524856,4.4425836,1.0030764
-1.5999,-0.64194214,-0.17213441,-12.48514,2.2647438,-1.6684887
-0.7842013,1.6406908,-0.23705451,-4.1473784,-5.6444287,-1.6918352
-2.8509514,-1.5250634,-3.1254253,-4.250574,-3.1624384,1.0797385
-5.1714134,-0.84709793,-2.4703054,-0.5329272,-3.9157045,-1.7275349
1.848635,-1.3341894,-0.11530042,-0.46351367,0.5226179,-9.670608
0.40505752,0.27069405,-2.8139918,3.2667806,-1.1177262,-0.45058072
-3.7938302,-2.853868,0.62477463,-0.87854326,-9.2386465,-14.2603245
-4.8617268,-3.580069,1.4250233,-2.0238943,-4.038739,-0.6530241
1.8791839,-3.5872817,-3.4347432,-0.709158,-3.2251503,1.1506227
-2.4525,-4.540864,-2.118687,-5.9389696,-6.999055,-3.4366608
2.5806785,-0.852516,-2.7970076,2.2439876,-1.6611036,-12.75816
-5.088972,3.3279693,0.3672046,-0.009258321,-12.581594,-0.5884959
1.3738216,-1.5584706,1.7512434,0.9407872,-2.5111547,-2.2399006
-4.0099993,-0.026989492,-4.8801246,1.069456,3.9214795,-13.563514
-2.0648582,1.0375868,2.0689223,-4.5509305,-0.917419,1.4494925
-0.5109733,-11.043358,-2.7656176,1.687802,-2.3660884,-0.7568532
-0.12685198,-3.2676075,3.0735474,-1.4097433,-0.02965668,-4.223384
0.26949877,4.6286397,-1.0149865,-3.3448322,-0.4164981,0.04316167
-5.5195813,-2.5678701,-1.7774439,-7.042551,-6.2670555,2.2350671
-0.7610794,-3.4207575,0.86082536,-0.019817792,2.1367857,1.2740513
-3.8166237,-4.7455974,1.5828727,-5.031637,1.4333014,-0.6252705
-6.94844,-2.2814496,2.6179943,-3.0075762,-0.6134389,-13.306754
-0.917419,-0.9813854,-2.0249972,-11.168998,-0.39010966,0.6820319
-6.750863,-2.2385192,-1.224786,-4.1661887,-4.448809,-0.9306431
-5.477904,-3.3084285,1.7702415,-4.97085,-0.08243184,-3.0075762
6.286649,-2.9492464,-3.0912223,-2.3534646,6.260136,-8.275668
-0.42431012,-0.54901785,2.233861,-3.5444512,1.8223695,-6.7254105
-0.5863102,-1.4612677,-6.89748,-6.1390567,0.19918539,-0.21950178
-1.6886652,-2.072812,-0.18945578,2.2112036,-1.5999,0.099691726
-2.5713117,-5.4461637,-0.44731697,-4.778884,-4.5879045,-1.1166966
-1.7740271,3.4138975,-2.6823432,-9.028816,-1.5853585,-0.47916335
-5.146828,1.8844268,0.731106,-3.1199296,-0.2846174,0.6492163
6.052008,0.57265496,0.89262885,2.7388248,-1.803951,-2.7303393
-15.630556,4.2892184,2.70327,-12.9737835,-0.39786395,-1.114937
-5.197692,-0.16739768,-0.64194214,-30.106926,0.15468991,-0.9322653
-0.8057966,4.2920256,-4.863745,-1.3269862,2.0007722,0.08885222
