day,mixed_setting,mixed_time,night,rural,urban
-23.458668,-6.2527084,-1.1704416,-3.5618527,0.66700804,-2.0757027
2.710719,-3.449515,3.7740686,-2.5396776,-3.5355995,-1.3753409
-0.34151626,1.1010445,0.34448057,-5.382742,-16.639936,1.9687716
-31.086975,5.589802,-0.9279606,1.1150352,-8.4741125,-0.8740046
-11.419156,2.7627704,0.024248878,0.0017527972,9.640866,-3.9449139
-7.5794024,-3.0364869,4.198688,1.7397721,-5.087138,-7.3004336
-1.6919795,-5.1720915,-9.013296,-1.7609055,2.3661482,1.3896258
20.560425,-3.3249838,0.28440437,0.80839664,-30.667084,-1.6787997
-2.703522,-8.193462,-1.467373,1.7071238,-16.283491,-3.8519063
6.1385365,-0.4839859,-2.3661036,-2.8358705,2.706914,-0.5942537
-19.264524,-0.9884786,16.379314,-5.596562,12.327118,-6.985403
-4.725853,-3.5167809,16.850307,1.88442,-0.8167506,1.8098087
-30.57722,-0.41133106,-3.6478877,1.5551281,-16.984426,-5.4949746
-29.25982,-3.0304053,-24.835882,-0.96376693,6.604027,2.168279
-0.8622821,-4.230702,-0.11640236,1.2998294,6.2010403,-0.82885706
-2.430231,1.5579038,-1.6653965,-2.7233362,-14.711797,1.0844249
9.640866,-2.959145,-3.542481,-1.7399783,-4.6051292,-5.2293777
-12.4774275,-6.0234327,2.0698888,-4.431689,2.6080427,0.8905772
-7.028603,-1.4804178,1.8827287,-1.506609,3.7962387,-0.04525683
-39.675083,-15.518804,-2.1286027,-0.53763145,5.9644623,1.3406192
-3.7169888,-0.031598162,-1.8950752,-1.4526539,-3.4768565,-1.5401659
-17.841385,-3.4894614,8.975192,-0.73200756,4.725913,-0.02103698
1.4692829,1.0045466,-2.959145,-2.9159682,-1.0594558,0.9447893
-9.912772,-15.537633,-1.6568757,0.92828923,-0.6819138,2.0832891
-0.6333583,-1.0146279,1.3387707,0.07945217,-0.50267947,-3.7172103
2.469728,-6.0332494,-18.188864,-3.900569,0.83190334,-2.1810756
-5.241984,-0.53577197,-0.2421319,1.8603988,-15.978335,-0.30205655
-8.08165,18.533962,-2.6374774,-1.4044089,-31.873014,-0.05484983
-2.276449,7.6770854,1.6410041,-3.8821154,-1.606983,-4.011352
-25.961912,1.9490465,0.32754213,-3.863571,3.4122965,-1.9046673
-41.50639,-1.0268471,1.421989,1.1103274,0.34056005,-1.2067173
-33.462925,-4.049932,1.8332124,-3.485085,-34.13252,-1.6876475
3.2519298,-5.017187,-25.702875,0.8126977,-1.7491261,-1.3122803
1.6286184,-15.997267,-4.383752,-3.1887078,-6.9433208,-0.5436045
-25.430904,-1.6979884,-11.666461,-6.565263,-5.251692,-0.82162046
2.3558867,-1.3486925,-1.5018356,-2.9516182,2.5002255,-0.010608991
5.0247145,-4.676152,-2.0744991,1.1082562,-2.073208,-8.878462
-31.100704,-2.147752,0.12806946,-1.6453959,10.615176,-1.9390887
-23.195713,2.0874934,-1.98334,1.5938587,-11.968111,-0.08106132
-32.816563,6.2328506,-13.375056,1.1005474,-19.264524,-2.629749
-39.921806,1.743234,-1.6979884,1.0993675,1.7051857,-1.3436954
-2.1905987,-3.2078016,-0.8274415,2.3135731,-5.6391783,2.184274
-6.1582146,-14.267439,-7.226123,1.6750184,-10.849539,-3.4728608
-39.107475,1.5083288,-13.421444,-4.800461,-8.815888,-0.67484486
21.664557,-14.107124,-2.1709712,-2.7057476,2.469728,-1.2411051
2.2786653,3.899339,2.4010572,-0.30205655,1.0338105,1.7541615
6.234504,-1.0673383,-2.8179004,1.0389798,-3.340082,1.4433606
-23.603222,-1.7440199,1.865205,-0.37462902,-3.0828388,-3.9918303
-1.1636672,2.083497,-3.172674,1.9140707,3.6812294,1.8960775
-6.8592443,1.974488,-3.3198576,-0.82885706,8.529798,0.2738163
-7.4075584,-11.139174,-1.8380804,-0.8020554,-26.77649,0.48849
0.62599194,-3.2782764,-23.413372,-1.7494265,-5.1871605,-2.7233362
