day,mixed_setting,mixed_time,night,rural,urban
-0.7007125,1.0275378,-1.7703704,0.6676505,-0.5233359,-0.9562264
-0.2201387,0.4291288,-0.5464155,0.23975927,-0.5039962,-0.4675674
0.7129861,-1.036094,-0.47200787,-0.50615627,-1.6848847,3.558151
-0.30021155,1.2019972,-0.3205305,0.69445944,-1.467852,-1.162353
-1.1639802,0.06339749,-0.48414084,-0.4626087,-0.19460233,-1.5879182
0.60777754,1.6881802,-0.2628564,-0.377248,1.320378,-1.1465325
-1.5667651,0.5758805,-0.33454308,0.3648926,0.33875686,-0.9290457
-0.8538975,-1.8851706,0.5758805,-1.5457861,2.1730144,-0.10465429
0.8346478,0.1249359,-0.02586251,-0.49848425,-0.21200223,-1.7163274
-0.6423588,0.9884171,0.119186796,-0.7319384,0.56280243,0.3648926
-0.58331347,-0.41208065,-0.82739544,3.0382411,0.099082135,-0.5020237
0.47892728,1.1251029,-0.21690972,2.454421,-0.64434296,2.0431123
0.18355876,-0.549615,-1.5981481,-0.8743845,0.36696896,1.7807933
-0.52849865,2.153497,-1.0761039,1.3548226,-0.25128263,-0.041549746
-0.047166295,0.7230284,0.16633968,-1.0001992,1.6025348,-1.1120743
0.07823597,0.6493849,-0.6189039,5.121583,-1.5063264,-1.6588598
0.67968404,1.6212307,0.50123084,4.910907,0.56896925,1.9872993
0.51359606,2.024567,-0.26333964,0.4685467,-0.598685,-0.68004435
-0.671008,-0.13381706,0.65889126,-1.3074254,-0.08128608,-0.042643003
0.44245878,-0.41970316,-0.937761,-1.132657,0.09069466,-1.8532292
-0.06705709,0.4196229,-0.9692857,1.7342685,-1.0366131,0.1581607
-0.04341524,-0.6842479,1.0245334,0.93093425,-2.204597,1.3916019
0.6895861,1.2351338,0.41868716,-0.015005925,-0.26193774,0.22176898
1.115976,0.36692458,-0.27465042,1.1099638,-2.8924842,-0.6642205
-2.2590148,-0.120530635,1.2395209,0.15716776,-0.09690843,-0.5440245
-0.53740436,-0.98419607,0.3832009,-0.58916867,-0.81334317,-0.51864016
2.1217504,-0.36816084,-0.23685515,-0.03259366,-0.5648771,-0.49891114
-1.0020467,-1.7550905,0.69466776,0.25311315,0.75835925,4.0088906
-0.73991436,0.0979654,-0.002455453,0.2974799,-0.069394715,-0.0048242477
-2.080718,0.9957305,-0.8429136,-0.33981213,-0.18407273,0.3068633
0.9961984,0.69896567,-0.9010488,2.791739,0.51359606,-0.48986754
1.0140414,0.15981318,-1.0762978,0.94243455,-0.21504174,5.0478086
-0.4785151,1.2378658,-1.1001586,0.83620805,-0.8978932,0.6917342
-0.47892943,0.14370888,1.5902468,1.7297666,0.1804331,0.18810554
0.24565457,1.9558246,0.48479486,0.28051415,0.90374666,-0.41332653
0.21425022,0.86330855,0.6284764,-0.24768399,-0.6265563,3.0640678
0.59797215,-1.9542946,0.36692458,-2.0518765,1.2966533,1.0235329
-0.3069043,-0.2681276,-0.6966417,0.14222886,-0.40789717,0.2395821
-0.08190079,0.21853857,0.7882678,0.23287444,-0.25539783,0.037591226
-0.65733993,0.74233055,-0.96977067,0.31187838,-2.1006074,0.1277843
-0.068672426,0.6192166,1.3300803,-0.32151407,0.03644989,1.905787
0.88179785,0.68459326,-0.038504336,-0.09212388,0.3966203,-0.32211512
-1.5023103,0.035450388,1.3516636,-1.1619654,1.3416915,-0.09268566
-1.0071694,0.928615,-0.053358182,0.62575287,-2.038318,1.3037959
0.20858479,1.4510975,0.056497615,-0.36573613,0.15184279,0.64439416
2.0206122,0.54658586,0.7077851,-0.33194718,0.56792676,0.60259765
0.087769635,-0.6618248,-0.5171546,-0.441821,0.6026344,4.248003
0.11790699,-0.41945896,0.610595,-0.88347167,0.076501526,0.564259
0.28906384,1.1587057,-0.26008847,-0.48747292,-0.8551482,-0.46139973
-0.30580804,0.9075904,-0.6618248,-0.84805846,2.4678395,0.6197321
1.4799943,-0.14353642,-0.48509112,-1.1425471,0.6895861,-0.29207766
0.1502061,-1.1823651,-0.26943558,-0.48171613,0.15198536,4.910907
0.08501707,-1.2043155,1.9547983,0.18810554,-1.339277,-0.68466324
1.6456383,1.4965866,-0.5919964,3.53583,0.19899413,-0.31535238
-0.19460233,-0.3365917,-0.1632048,1.0235329,-0.061010662,-0.29126912
-0.42245886,-0.104168914,-0.7662686,-0.33875003,5.2990174,5.104227
-0.7050838,-1.9799633,0.58434653,-0.5460091,-0.020137103,0.22349744
-0.5233359,-0.4799386,0.11453373,-1.5879182,-0.45718294,-0.60744286
-1.8597716,1.2540466,1.1596875,1.3892928,-0.84326106,-0.25331676
