day,mixed_setting,mixed_time,night,rural,urban
-0.31882554,-0.79660237,-0.22506006,0.63539964,0.29856122,-1.8759251
-1.8789355,0.3452669,-0.515558,-0.121807024,0.71250343,-3.042692
-0.279032,-0.6300866,0.63719857,-0.34568793,0.42827162,0.4235366
0.62208164,-0.23173465,-0.044857264,-4.662408,-0.2997949,0.24587612
-0.030746095,0.38716754,0.0867878,-0.19641061,-0.2002876,-10.545936
-0.6339875,-0.7179348,2.3619287,-0.0028533114,-0.63556784,-3.1010013
-1.0813981,1.4037831,-0.36875847,0.437839,-0.3340591,-0.23784254
-1.2080026,0.08114435,-0.11182385,-3.0378733,-0.2246654,-4.0774555
-1.9002832,0.11171969,-0.6440322,-0.5921637,-1.5482082,-0.3258922
-0.029583255,0.7177333,-0.114069276,-0.0660102,1.8823352,-0.3506174
-0.77486104,-0.1603293,1.8033235,-0.12278374,3.0116453,1.1599702
-0.532765,-0.24014303,-0.768999,-7.6244664,-0.6510963,-10.223342
1.1561068,0.5777332,-0.50214523,0.0041766604,-0.5124554,-0.25753057
0.8010548,0.31940696,1.644409,3.173897,0.28001726,-13.082908
-0.8540775,-0.6053972,0.49535772,-2.7814133,2.0433533,0.71910876
-0.8429708,-0.5121651,-0.36719435,0.7528311,-1.5506569,-0.13729128
-2.1012735,-0.2799023,0.62830734,1.0688008,-0.6298083,1.7188059
0.4578538,-1.2438722,0.34423575,-4.521233,-1.6365678,-0.13780077
-0.08433917,-0.29486182,-0.62986124,-0.4663243,0.15549438,-0.93244797
2.2510083,0.17878105,-0.3688302,-9.846152,1.5237912,0.0683433
-0.26630566,2.5920703,0.74898994,-5.505938,2.437872,0.0058005378
-0.29477474,0.6815504,0.64059997,1.4029319,1.5373799,-1.3989052
0.50972503,0.5933402,0.079832956,0.8469383,0.33750352,-8.286887
-1.2137408,-0.3450731,2.2663147,0.088958085,-0.19906926,-5.505938
0.76321554,-0.30696148,-0.5116401,-6.9306874,0.70761436,0.14659634
0.23188064,0.1534436,-1.0161375,-13.036732,-0.11940878,-3.2487519
0.3748382,-0.2849371,-0.9610827,-9.149833,0.9539477,-3.6820984
-0.6948454,0.8775222,0.23051888,-7.5849624,-0.029415062,1.2959718
2.9202437,-0.32574537,-1.1340948,-11.539009,-0.46588248,0.6372276
-1.031326,-0.36300576,1.3001589,-0.35006937,0.8010548,0.042442795
-2.1042514,-0.35267532,-0.30909356,-0.73342055,-0.29370752,-4.776457
0.4542161,-1.2972146,-0.51016045,0.19543475,0.69699347,-2.5538042
-0.5988812,1.147272,-0.6592208,0.2934215,0.54651076,-8.003933
0.2597922,2.1881518,0.6444505,-10.328073,-0.58049047,-10.328073
-1.0067921,-0.38788065,-0.31150782,1.3103288,0.66374195,-6.788518
-0.78454876,1.3513341,0.13402197,-6.5510187,4.194856,-3.9720805
0.048436284,1.2935182,-0.34817374,-1.8843569,-0.34784934,0.29927015
-0.24611838,-0.24643578,1.6826631,-9.8602,-1.1237078,0.47422683
-0.6473824,-0.017872043,2.3589354,-0.32069445,-0.91647816,-0.12907691
0.52213377,-0.2675974,-0.12343432,0.26157445,-0.84399533,-0.99478453
-0.6221448,-0.41270563,-1.1195226,0.56548244,-1.2490127,0.0041766604
1.2133318,1.3001589,-0.43226898,0.6452891,-0.47192848,-0.13280448
1.2248782,0.3457177,-0.63980085,-0.42889062,-1.0095565,0.25907248
-0.47192848,0.97833747,-1.0689075,-0.23429596,2.9202437,-12.262781
0.22578897,1.4288243,-0.24209006,-0.09652295,1.6470659,0.31060454
1.5964473,-0.25425088,0.5415366,0.28362957,1.3874948,0.05992808
1.2524756,0.25900203,0.61801255,-2.9130175,-0.037436265,0.5118151
0.33948088,-0.18717107,-1.0661515,-13.277139,0.5999518,1.2091633
-1.8190637,2.4206052,1.2693957,-8.614205,-0.74169534,-6.7798467
1.7396439,0.732939,-0.22137068,-1.4157581,-0.5804448,1.3036722
-0.17788629,-0.25374493,-0.5462512,-0.46264625,-0.41428682,-0.035247404
0.62237024,2.0247617,-0.33117196,-7.2047496,-0.48257503,0.14577715
-0.5535885,-0.7607977,0.26549456,-0.4024484,0.52278435,0.24316497
